task,sets,runs,delta_top1
chaii-hindi-and-tamil-question-answering,7,4,0.14285714285714285
denoising-dirty-documents,8,5,0.0
google-quest-challenge,7,2,0.0
kuzushiji-recognition,4,2,0.0
leaf-classification,6,2,0.4166666666666667
learning-agency-lab-automated-essay-scoring-2,6,3,0.08333333333333333
mlsp-2013-birds,6,3,0.0
nomad2018-predict-transparent-conductors,6,2,0.08333333333333333
petfinder-pawpularity-score,4,3,-0.25
random-acts-of-pizza,4,4,0.0
spaceship-titanic,1,1,1.0
spooky-author-identification,6,4,0.25
tabular-playground-series-dec-2021,3,3,0.0
tabular-playground-series-may-2022,6,5,0.0
text-normalization-challenge-english-language,5,2,0.0
text-normalization-challenge-russian-language,3,1,0.0
tweet-sentiment-extraction,6,3,0.0
us-patent-phrase-to-phrase-matching,6,2,0.0
whale-categorization-playground,6,1,0.16666666666666666
