parent,run_id,task,stratum,policy,n_children,n_winners,n_artifact_scored,n_artifact_exists,kept_n,pruned_n,kept_ids,pruned_ids,any_winner_survival,winner_fraction_survival,structured_random_any_winner,structured_random_winner_fraction,kept_fraction,full_runtime_s,probe_wall_s,pruned_full_runtime_s,avoidable_tail_s,restart_cost_ratio,ideal_resume_cost_ratio
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,full_continue,3,1,0,0,3,0,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79|chaii-hindi-and-tamil-question-answering__e52f191218764c6286271c5d08770f64|chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,,1.0,1.0,,,1.0,2803.019416332245,140.3,0,0,1.0500531673746245,1.0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,observed_only,3,1,0,0,3,0,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79|chaii-hindi-and-tamil-question-answering__e52f191218764c6286271c5d08770f64|chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,,1.0,1.0,,,1.0,2803.019416332245,140.3,0,0,1.0500531673746245,1.0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,censor_aware,3,1,0,0,3,0,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79|chaii-hindi-and-tamil-question-answering__e52f191218764c6286271c5d08770f64|chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,,1.0,1.0,1.0,1.0,1.0,2803.019416332245,140.3,0,0,1.0500531673746245,1.0
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,full_continue,2,1,0,0,2,0,chaii-hindi-and-tamil-question-answering__809857640568405e918117ea19d34793|chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,,1.0,1.0,,,1.0,10884.15703701973,240.2,0,0,1.02206877383182,1.0
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,observed_only,2,1,0,0,2,0,chaii-hindi-and-tamil-question-answering__809857640568405e918117ea19d34793|chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,,1.0,1.0,,,1.0,10884.15703701973,240.2,0,0,1.02206877383182,1.0
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,censor_aware,2,1,0,0,2,0,chaii-hindi-and-tamil-question-answering__809857640568405e918117ea19d34793|chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,,1.0,1.0,1.0,1.0,1.0,10884.15703701973,240.2,0,0,1.02206877383182,1.0
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,full_continue,3,1,0,0,3,0,chaii-hindi-and-tamil-question-answering__4f53d7ec0a9a4cf493e0b830f2ea81f1|chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76|chaii-hindi-and-tamil-question-answering__b2ad93da8c144c78b743ca04be0b9076,,1.0,1.0,,,1.0,1355.3276376724243,360.4,0,0,1.265913562139804,1.0
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,observed_only,3,1,0,0,3,0,chaii-hindi-and-tamil-question-answering__4f53d7ec0a9a4cf493e0b830f2ea81f1|chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76|chaii-hindi-and-tamil-question-answering__b2ad93da8c144c78b743ca04be0b9076,,1.0,1.0,,,1.0,1355.3276376724243,360.4,0,0,1.265913562139804,1.0
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,censor_aware,3,1,0,0,3,0,chaii-hindi-and-tamil-question-answering__4f53d7ec0a9a4cf493e0b830f2ea81f1|chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76|chaii-hindi-and-tamil-question-answering__b2ad93da8c144c78b743ca04be0b9076,,1.0,1.0,1.0,1.0,1.0,1355.3276376724243,360.4,0,0,1.265913562139804,1.0
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,full_continue,3,1,0,0,3,0,chaii-hindi-and-tamil-question-answering__4246a977cac14f43b5383deb5a257697|chaii-hindi-and-tamil-question-answering__57ce82f9247a4cc8b626b575d3f2c979|chaii-hindi-and-tamil-question-answering__ce99d23bb4de4bd4bfe832f8937daca3,,1.0,1.0,,,1.0,6553.884172439575,136.4,0,0,1.0208120858427114,1.0
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,observed_only,3,1,0,0,3,0,chaii-hindi-and-tamil-question-answering__4246a977cac14f43b5383deb5a257697|chaii-hindi-and-tamil-question-answering__57ce82f9247a4cc8b626b575d3f2c979|chaii-hindi-and-tamil-question-answering__ce99d23bb4de4bd4bfe832f8937daca3,,1.0,1.0,,,1.0,6553.884172439575,136.4,0,0,1.0208120858427114,1.0
