parent,run_id,task,stratum,n_children,n_artifacts,n_silent,artifact_coverage,policy,picked,picked_pool_n,top1_expected,raw_regret,rank_expected,observed_low_stage_wall_s,full_eval_count,historical_all_full_runtime_s,cost_restart_exact_s,cost_continue_exact_s,cost_ratio_restart_exact,cost_ratio_continue_exact
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,random,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79|chaii-hindi-and-tamil-question-answering__e52f191218764c6286271c5d08770f64|chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,3,0.3333333333333333,0.06279666666666672,2,88.5,0,2803.019416332245,0.0,0.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,full_external,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79,1,1.0,0.0,1,88.5,3,2803.019416332245,2803.019416332245,2803.019416332245,1.0,1.0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,full_self_report_available,chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,1,0.0,0.0044600000000000195,2,88.5,3,2803.019416332245,2803.019416332245,2803.019416332245,1.0,1.0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,full_self_report_complete,chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,1,0.0,0.0044600000000000195,2,88.5,3,2803.019416332245,2803.019416332245,2803.019416332245,1.0,1.0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,sub120_available,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79|chaii-hindi-and-tamil-question-answering__e52f191218764c6286271c5d08770f64|chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,3,0.3333333333333333,0.06279666666666672,2,88.5,0,2803.019416332245,88.5,88.5,0.03157309559981657,0.03157309559981657
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,artifact120_escalate_silent,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79,1,1.0,0.0,1,88.5,3,2803.019416332245,2891.519416332245,2801.519416332245,1.0315730955998166,0.9994648627864438
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,random,chaii-hindi-and-tamil-question-answering__809857640568405e918117ea19d34793|chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,2,0.5,0.016945,1.5,60.3,0,10884.15703701973,0.0,0.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,full_external,chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,1,1.0,0.0,1,60.3,2,10884.15703701973,10884.15703701973,10884.15703701973,1.0,1.0
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,full_self_report_available,chaii-hindi-and-tamil-question-answering__809857640568405e918117ea19d34793|chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,2,0.5,0.016945,1.5,60.3,2,10884.15703701973,10884.15703701973,10884.15703701973,1.0,1.0
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,sub120_available,chaii-hindi-and-tamil-question-answering__809857640568405e918117ea19d34793|chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,2,0.5,0.016945,1.5,60.3,0,10884.15703701973,60.3,60.3,0.00554016262305888,0.00554016262305888
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,2,0.0,artifact120_escalate_silent,chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,1,1.0,0.0,1,60.3,2,10884.15703701973,10944.457037019729,10884.457037019729,1.005540162623059,1.0000275629981246
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,random,chaii-hindi-and-tamil-question-answering__4f53d7ec0a9a4cf493e0b830f2ea81f1|chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76|chaii-hindi-and-tamil-question-answering__b2ad93da8c144c78b743ca04be0b9076,3,0.3333333333333333,0.04712666666666665,2,91.9,0,1355.3276376724243,0.0,0.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,full_external,chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76,1,1.0,0.0,1,91.9,3,1355.3276376724243,1355.3276376724243,1355.3276376724243,1.0,1.0
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,full_self_report_available,chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76,1,1.0,0.0,1,91.9,3,1355.3276376724243,1355.3276376724243,1355.3276376724243,1.0,1.0
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,full_self_report_complete,chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76,1,1.0,0.0,1,91.9,3,1355.3276376724243,1355.3276376724243,1355.3276376724243,1.0,1.0
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,sub120_available,chaii-hindi-and-tamil-question-answering__4f53d7ec0a9a4cf493e0b830f2ea81f1|chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76|chaii-hindi-and-tamil-question-answering__b2ad93da8c144c78b743ca04be0b9076,3,0.3333333333333333,0.04712666666666665,2,91.9,0,1355.3276376724243,91.9,91.9,0.06780648268770254,0.06780648268770254
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,3,0.0,artifact120_escalate_silent,chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76,1,1.0,0.0,1,91.9,3,1355.3276376724243,1447.2276376724244,1357.2276376724244,1.0678064826877025,1.0014018750501266
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,random,chaii-hindi-and-tamil-question-answering__4246a977cac14f43b5383deb5a257697|chaii-hindi-and-tamil-question-answering__57ce82f9247a4cc8b626b575d3f2c979|chaii-hindi-and-tamil-question-answering__ce99d23bb4de4bd4bfe832f8937daca3,3,0.3333333333333333,0.010610000000000008,2,46.0,0,6553.884172439575,0.0,0.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,full_external,chaii-hindi-and-tamil-question-answering__ce99d23bb4de4bd4bfe832f8937daca3,1,1.0,0.0,1,46.0,3,6553.884172439575,6553.884172439575,6553.884172439575,1.0,1.0
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,full_self_report_available,chaii-hindi-and-tamil-question-answering__57ce82f9247a4cc8b626b575d3f2c979,1,0.0,0.011849999999999916,2,46.0,3,6553.884172439575,6553.884172439575,6553.884172439575,1.0,1.0
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,full_self_report_complete,chaii-hindi-and-tamil-question-answering__57ce82f9247a4cc8b626b575d3f2c979,1,0.0,0.011849999999999916,2,46.0,3,6553.884172439575,6553.884172439575,6553.884172439575,1.0,1.0
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,sub120_available,chaii-hindi-and-tamil-question-answering__4246a977cac14f43b5383deb5a257697|chaii-hindi-and-tamil-question-answering__57ce82f9247a4cc8b626b575d3f2c979|chaii-hindi-and-tamil-question-answering__ce99d23bb4de4bd4bfe832f8937daca3,3,0.3333333333333333,0.010610000000000008,2,46.0,0,6553.884172439575,46.0,46.0,0.007018738627307363,0.007018738627307363
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,artifact120_escalate_silent,chaii-hindi-and-tamil-question-answering__ce99d23bb4de4bd4bfe832f8937daca3,1,1.0,0.0,1,46.0,3,6553.884172439575,6599.884172439575,6509.884172439575,1.0070187386273073,0.993286423921706
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,random,chaii-hindi-and-tamil-question-answering__9cc47ce945ac482dada73aa89c86ea95|chaii-hindi-and-tamil-question-answering__a483163f252d42fc98190cbfa2abfacc|chaii-hindi-and-tamil-question-answering__adf3351945ce4702bf8966e662ab3dcf,3,0.3333333333333333,0.01686333333333334,2,86.9,0,1590.8876776695251,0.0,0.0,0.0,0.0
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,full_external,chaii-hindi-and-tamil-question-answering__9cc47ce945ac482dada73aa89c86ea95,1,1.0,0.0,1,86.9,3,1590.8876776695251,1590.8876776695251,1590.8876776695251,1.0,1.0
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,full_self_report_available,chaii-hindi-and-tamil-question-answering__adf3351945ce4702bf8966e662ab3dcf,1,0.0,0.011009999999999964,2,86.9,3,1590.8876776695251,1590.8876776695251,1590.8876776695251,1.0,1.0
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,3,0,3,0.0,full_self_report_complete,chaii-hindi-and-tamil-question-answering__adf3351945ce4702bf8966e662ab3dcf,1,0.0,0.011009999999999964,2,86.9,3,1590.8876776695251,1590.8876776695251,1590.8876776695251,1.0,1.0
