comparison,parent,run,task,a,b,delta,common,all
policy_sub_vs_full,leaf-classification__3c164f72f3244432b38a52ea18357921,cards_senior_0808.jsonl:34,leaf-classification,1.0,1.0,0.0,3,3
policy_sub_vs_full,leaf-classification__6ab44b6035424b84aa5f92009d7da965,cards_senior_0808.jsonl:34,leaf-classification,1.0,1.0,0.0,2,2
policy_sub_vs_full,leaf-classification__abd955fe1fad4d7a9b4bac2c62a6b1ae,cards_senior_0808.jsonl:34,leaf-classification,1.0,0.0,1.0,2,2
policy_sub_vs_full,leaf-classification__f0411bcb7c8d46b38b6395c0a137f9fd,cards_senior_0808.jsonl:34,leaf-classification,1.0,0.0,1.0,3,3
policy_sub_vs_full,leaf-classification__fc1a4fb5b3cd4cedafd1b81e84071adf,cards_senior_0808.jsonl:33,leaf-classification,1.0,1.0,0.0,2,2
policy_sub_vs_full,learning-agency-lab-automated-essay-scoring-2__d7d7b2c80bc34005a0fec4fc67053498,cards_senior_0803.jsonl:3,learning-agency-lab-automated-essay-scoring-2,1.0,1.0,0.0,3,3
policy_sub_vs_full,mlsp-2013-birds__2d82d79adb47473e907e8f34ad15cdb2,cards_senior_0802.jsonl:4,mlsp-2013-birds,0.0,1.0,-1.0,5,5
policy_sub_vs_full,mlsp-2013-birds__35246c86f5b347e18d24e0558af31250,cards_senior_0802.jsonl:4,mlsp-2013-birds,0.0,0.0,0.0,2,2
policy_sub_vs_full,mlsp-2013-birds__5c488535319e494c9944773f9016d969,cards_senior_0726.jsonl:10,mlsp-2013-birds,1.0,1.0,0.0,2,2
policy_sub_vs_full,mlsp-2013-birds__c5870d4b8b5442098b53fb4804d68bf5,cards_senior_0802.jsonl:4,mlsp-2013-birds,0.0,1.0,-1.0,3,3
policy_sub_vs_full,mlsp-2013-birds__cbc262e729334ecdaf84f39d41db9d23,cards_senior_0802.jsonl:4,mlsp-2013-birds,0.0,0.0,0.0,4,4
policy_sub_vs_full,nomad2018-predict-transparent-conductors__1265133eace24ca18de1ac9288f5a1e5,cards_senior_0805seq.jsonl:17,nomad2018-predict-transparent-conductors,0.0,1.0,-1.0,2,2
policy_sub_vs_full,nomad2018-predict-transparent-conductors__a396aa16cb464d688b0d8516787a5fac,cards_senior_0805seq.jsonl:19,nomad2018-predict-transparent-conductors,1.0,1.0,0.0,2,2
policy_sub_vs_full,nomad2018-predict-transparent-conductors__b9e345a509784184a1c3d92ffad28c91,cards_senior_0805seq.jsonl:19,nomad2018-predict-transparent-conductors,1.0,1.0,0.0,2,2
policy_sub_vs_full,nomad2018-predict-transparent-conductors__bddf4a264bef49469e4450b38388741c,cards_senior_0805seq.jsonl:17,nomad2018-predict-transparent-conductors,0.0,1.0,-1.0,2,2
