group_type,model_family,bin_index,bin,n_tasks,n_pairs,task_macro,task_macro_ci,pair_micro,pair_micro_task_cluster_ci
raw_gap,deepseek,0,"[0,1e-4)",11,34,0.40151515151515144,"[0.28030303030303033, 0.5126262626262627]",0.4117647058823529,"[0.3020833333333333, 0.5185185185185186]"
raw_gap,deepseek,1,"[1e-4,3e-4)",16,74,0.5137521043771043,"[0.35841934974747475, 0.6627104377104376]",0.5045045045045046,"[0.4057971014492754, 0.5926023391812864]"
raw_gap,deepseek,2,"[3e-4,1e-3)",19,234,0.4987211015529094,"[0.36432374095203035, 0.6357325407239593]",0.33333333333333326,"[0.16116828087167068, 0.5625]"
raw_gap,deepseek,3,"[1e-3,3e-3)",20,361,0.5349895484711327,"[0.44442757149240014, 0.6217961728258555]",0.5115420129270545,"[0.44739047143095123, 0.5798832603710652]"
raw_gap,deepseek,4,"[3e-3,1e-2)",22,1059,0.5646109211896991,"[0.49820104551989525, 0.6345029312083499]",0.5212464589235127,"[0.43614281481178735, 0.5975578440483308]"
raw_gap,deepseek,5,"[1e-2,3e-2)",23,2255,0.48183376264517447,"[0.4022442300530657, 0.552143512142698]",0.5404286770140427,"[0.5051231396077112, 0.5692628837538966]"
raw_gap,deepseek,6,"[3e-2,1e-1)",22,4756,0.6369255981469791,"[0.5834367838479585, 0.6935319867066876]",0.6426268573030559,"[0.5883608442220619, 0.6931447099877405]"
raw_gap,deepseek,7,"[1e-1,3e-1)",21,4707,0.6652483696045622,"[0.5981881489335431, 0.7359632658652527]",0.6578146023652716,"[0.5961015494776966, 0.712545414925636]"
raw_gap,deepseek,8,"[3e-1,inf)",21,4909,0.6259792939975724,"[0.5296751046896832, 0.7165103340826987]",0.6263325864059209,"[0.5374017803714571, 0.7317991079089647]"
within_task_quartile,deepseek,0,Q1,26,4612,0.5336553091603023,"[0.45847281776885496, 0.6096359326182522]",0.5318733738074588,"[0.4979061621841029, 0.5612819877379371]"
within_task_quartile,deepseek,1,Q2,24,4581,0.6054615908387518,"[0.5496069263313569, 0.6575839180776354]",0.6042348832132721,"[0.5561123518323938, 0.6512735871467886]"
within_task_quartile,deepseek,2,Q3,26,4593,0.6213270012480229,"[0.5309453309021265, 0.7074356955449658]",0.6644168662457361,"[0.6031576976112613, 0.7188954018469366]"
within_task_quartile,deepseek,3,Q4,26,4603,0.6503853854166161,"[0.5578476946166804, 0.7351203122861936]",0.660294011152147,"[0.5711249765806015, 0.737268769115048]"
within_task_decile,deepseek,0,D1,23,1810,0.5222940194312717,"[0.49095910555760247, 0.552577177064232]",0.5259668508287293,"[0.49869975948249273, 0.5534537510656437]"
within_task_decile,deepseek,1,D2,26,1896,0.5316520766178455,"[0.4439820951366874, 0.6151849270017817]",0.5260196905766527,"[0.4638767430019972, 0.5746183131798933]"
within_task_decile,deepseek,2,D3,23,1814,0.5203389660200493,"[0.4368349559427555, 0.5911522284553505]",0.5560455714810731,"[0.51358336952827, 0.6006612651203634]"
within_task_decile,deepseek,3,D4,24,1840,0.6162205673088791,"[0.5285699182584966, 0.6992292544390084]",0.6050724637681161,"[0.5538930459640851, 0.6586251908466211]"
within_task_decile,deepseek,4,D5,24,1833,0.6249859079416892,"[0.5472416120154656, 0.6991285114289091]",0.6272049463538826,"[0.5607358530503096, 0.6859732844918371]"
within_task_decile,deepseek,5,D6,26,1847,0.6268189126093173,"[0.5254141708591231, 0.7193807239519981]",0.6668471395055042,"[0.5953831235613566, 0.7296105935473732]"
within_task_decile,deepseek,6,D7,24,1808,0.5894245754291093,"[0.4914623825898231, 0.6831814393361658]",0.6528392330383481,"[0.5914032969575688, 0.7094573063238738]"
within_task_decile,deepseek,7,D8,24,1854,0.6159278865634935,"[0.5210483208719261, 0.7048999261569627]",0.6677454153182308,"[0.5764724225129026, 0.7465952938086483]"
within_task_decile,deepseek,8,D9,26,1841,0.6344695196594898,"[0.5345186638408067, 0.7286526520274944]",0.6621401412275937,"[0.5683819754336135, 0.7371477987862333]"
within_task_decile,deepseek,9,D10,24,1846,0.660922037147614,"[0.5525886510314024, 0.7592322972168991]",0.6619718309859155,"[0.568258422559918, 0.7484711833311005]"
raw_gap,gpt,0,"[0,1e-4)",11,34,0.6376262626262625,"[0.43936237373737363, 0.8232323232323232]",0.5294117647058824,"[0.4270833333333333, 0.7111363636363633]"
raw_gap,gpt,1,"[1e-4,3e-4)",16,74,0.43264941077441077,"[0.2690972222222222, 0.6041666666666666]",0.4684684684684685,"[0.32666326530612244, 0.5810839685839685]"
raw_gap,gpt,2,"[3e-4,1e-3)",19,233,0.5058512489290522,"[0.3738663915222839, 0.6372110117190208]",0.3876967095851216,"[0.23616996215823374, 0.6]"
raw_gap,gpt,3,"[1e-3,3e-3)",20,360,0.5236681286078995,"[0.42510689467357815, 0.6215317480440453]",0.5074074074074074,"[0.44329805512904885, 0.5753999255952381]"
raw_gap,gpt,4,"[3e-3,1e-2)",22,1059,0.5688589912352127,"[0.4780100002762012, 0.6618525617049914]",0.5055083412023921,"[0.44354730773775436, 0.5591505715040176]"
raw_gap,gpt,5,"[1e-2,3e-2)",23,2254,0.46871598982733115,"[0.37872838126535074, 0.5480849524196189]",0.5436261461106182,"[0.5038230938741196, 0.5821032526726544]"
raw_gap,gpt,6,"[3e-2,1e-1)",22,4755,0.6039603717025454,"[0.5436072022236249, 0.669050193460609]",0.6042060988433228,"[0.5633868732911264, 0.6483247201120061]"
raw_gap,gpt,7,"[1e-1,3e-1)",21,4705,0.6180297975305395,"[0.5481486296199041, 0.6861452504884753]",0.6379737867516825,"[0.5613285105989076, 0.7007789635114952]"
raw_gap,gpt,8,"[3e-1,inf)",21,4907,0.6072653498848484,"[0.5248551181783426, 0.6853587702729158]",0.5837918619658992,"[0.5013510496993471, 0.6773984123832822]"
within_task_quartile,gpt,0,Q1,26,4611,0.530522059946082,"[0.4512570027881523, 0.6106561243040463]",0.5378442854044676,"[0.5064376302092919, 0.5673359358642825]"
within_task_quartile,gpt,1,Q2,24,4577,0.5674847815311392,"[0.5089638852525689, 0.625762004934495]",0.586483140339378,"[0.5333305474300043, 0.6362824953944868]"
within_task_quartile,gpt,2,Q3,26,4589,0.5826940586312269,"[0.48442474490375326, 0.6719578444652288]",0.625408585748529,"[0.5629359371446488, 0.687331177312454]"
within_task_quartile,gpt,3,Q4,26,4604,0.6202717737008954,"[0.5325473089863985, 0.7033919191082174]",0.6062843903851722,"[0.5214243827757638, 0.6815444481513842]"
within_task_decile,gpt,0,D1,23,1809,0.5231241334346769,"[0.45669486009113214, 0.5888983378227669]",0.5281002395430257,"[0.5010029656601335, 0.5529879882430524]"
within_task_decile,gpt,1,D2,26,1897,0.5328190485656278,"[0.44034688979613085, 0.6230511258350679]",0.5359339307678791,"[0.4794777099164855, 0.5865608499888966]"
within_task_decile,gpt,2,D3,23,1812,0.5211807572210152,"[0.4311837210159519, 0.5993466986780813]",0.56401766004415,"[0.5246198126818227, 0.6037227420508666]"
within_task_decile,gpt,3,D4,24,1840,0.5625598130253019,"[0.4700039324875384, 0.6478601920163165]",0.5764492753623187,"[0.5189945272847272, 0.6310205623155429]"
within_task_decile,gpt,4,D5,24,1830,0.6041246268191099,"[0.5145684962170902, 0.6857055088162136]",0.606375227686703,"[0.5330960752386107, 0.6693848061482555]"
within_task_decile,gpt,5,D6,26,1827,0.5802799497656973,"[0.47831152543460476, 0.6770585534585543]",0.6195949644225506,"[0.5490363483396862, 0.6866866023893897]"
within_task_decile,gpt,6,D7,24,1825,0.5748345680794462,"[0.46845022406252174, 0.6734161843896618]",0.6407305936073059,"[0.5693875518644419, 0.7099395235467255]"
within_task_decile,gpt,7,D8,24,1856,0.5661112787587029,"[0.4661660213500607, 0.6597286799975337]",0.6020114942528736,"[0.4994306692876984, 0.6949831976736612]"
within_task_decile,gpt,8,D9,26,1841,0.6032474461428131,"[0.5011148518708923, 0.6989280457935617]",0.601303639326453,"[0.5029835451081195, 0.6835219191399869]"
within_task_decile,gpt,9,D10,24,1844,0.6394017402966988,"[0.5414128367325998, 0.7308282021038335]",0.6158712942877801,"[0.5280511905357202, 0.6971777840086889]"
