parent,run_id,task,stratum,n_children,n_artifact,n_stdout,parent_available,n_certified,certificate_passed,override_active,policy,low_wall_s,full_runtime_s,cost_ratio,selected,selected_n,top1,raw_regret,normalized_regret,rank,selected_final_improves_parent
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,0,True,0,False,False,random,140.29999999999998,2803.019416332245,0.050053167374624445,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79|chaii-hindi-and-tamil-question-answering__e52f191218764c6286271c5d08770f64|chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,3,0.3333333333333333,0.06279666666666672,0.3414161184508602,2,0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,0,True,0,False,False,stdout_only,140.29999999999998,2803.019416332245,0.050053167374624445,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79|chaii-hindi-and-tamil-question-answering__e52f191218764c6286271c5d08770f64|chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,3,0.3333333333333333,0.06279666666666672,0.3414161184508602,2,0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,0,True,0,False,False,artifact_score_then_stdout,140.29999999999998,2803.019416332245,0.050053167374624445,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79|chaii-hindi-and-tamil-question-answering__e52f191218764c6286271c5d08770f64|chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,3,0.3333333333333333,0.06279666666666672,0.3414161184508602,2,0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,0,True,0,False,False,parent_certified_override,140.29999999999998,2803.019416332245,0.050053167374624445,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79|chaii-hindi-and-tamil-question-answering__e52f191218764c6286271c5d08770f64|chaii-hindi-and-tamil-question-answering__fe380beafe764af0bccfea134d0032b5,3,0.3333333333333333,0.06279666666666672,0.3414161184508602,2,0
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,0,True,0,False,False,full_oracle,140.29999999999998,2803.019416332245,0.050053167374624445,chaii-hindi-and-tamil-question-answering__bc2b2933e9a344838ef44954e87a5a79,1,1.0,0.0,0.0,1,0
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,1,True,0,False,False,random,240.2,10884.15703701973,0.022068773831819953,chaii-hindi-and-tamil-question-answering__809857640568405e918117ea19d34793|chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,2,0.5,0.016945,0.5000000000000001,1.5,1
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,1,True,0,False,False,stdout_only,240.2,10884.15703701973,0.022068773831819953,chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,1,1.0,0.0,0.0,1,1
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,1,True,0,False,False,artifact_score_then_stdout,240.2,10884.15703701973,0.022068773831819953,chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,1,1.0,0.0,0.0,1,1
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,1,True,0,False,False,parent_certified_override,240.2,10884.15703701973,0.022068773831819953,chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,1,1.0,0.0,0.0,1,1
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,2,0,1,True,0,False,False,full_oracle,240.2,10884.15703701973,0.022068773831819953,chaii-hindi-and-tamil-question-answering__9084669573164ec5b9a1dccb93b34a76,1,1.0,0.0,0.0,1,1
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,3,0,0,True,0,False,False,random,360.4,1355.3276376724243,0.265913562139804,chaii-hindi-and-tamil-question-answering__4f53d7ec0a9a4cf493e0b830f2ea81f1|chaii-hindi-and-tamil-question-answering__5d0ed2ed05c0444d9cb5b339be9fdc76|chaii-hindi-and-tamil-question-answering__b2ad93da8c144c78b743ca04be0b9076,3,0.3333333333333333,0.04712666666666665,0.3376077560474723,2,0.3333333333333333
