task	task_type
aerial-cactus-identification	image-cls
aptos2019-blindness-detection	image-cls
chaii-hindi-and-tamil-question-answering	nlp
denoising-dirty-documents	image-cls
dog-breed-identification	image-cls
dogs-vs-cats-redux-kernels-edition	image-cls
google-quest-challenge	nlp
histopathologic-cancer-detection	image-cls
kuzushiji-recognition	image-cls
leaf-classification	image-cls
learning-agency-lab-automated-essay-scoring-2	nlp
mlsp-2013-birds	image-cls
nomad2018-predict-transparent-conductors	tabular
petfinder-pawpularity-score	image-cls
random-acts-of-pizza	nlp
ranzcr-clip-catheter-line-classification	image-cls
spaceship-titanic	tabular
spooky-author-identification	nlp
tabular-playground-series-dec-2021	tabular
tabular-playground-series-may-2022	tabular
text-normalization-challenge-english-language	nlp
text-normalization-challenge-russian-language	nlp
tweet-sentiment-extraction	nlp
us-patent-phrase-to-phrase-matching	nlp
whale-categorization-playground	image-cls
