card_id,competition,n_reps,tau,orig_graded,mean_rerun,offset,reps
nomad2018-predict-transparent-conductors__0a27ab7ae64847d5beeb8807f508c376,nomad2018-predict-transparent-conductors,3,4.71405e-06,0.05962,0.0596967,7.66667e-05,0.0597;0.0597;0.05969
nomad2018-predict-transparent-conductors__12b17fb3d07547efa75249633fa8bd6a,nomad2018-predict-transparent-conductors,3,0,0.05908,0.05967,0.00059,0.05967;0.05967;0.05967
nomad2018-predict-transparent-conductors__13252d83f80a45dfa5a7fab6c10a7499,nomad2018-predict-transparent-conductors,3,0,0.65708,0.65708,0,0.65708;0.65708;0.65708
nomad2018-predict-transparent-conductors__14b9555f426943d3929d38238a5c596b,nomad2018-predict-transparent-conductors,3,0,0.06347,0.06347,0,0.06347;0.06347;0.06347
nomad2018-predict-transparent-conductors__25842ac374e340b9a7c62aa7c73ea6bd,nomad2018-predict-transparent-conductors,3,0,0.0579,0.0579,0,0.0579;0.0579;0.0579
nomad2018-predict-transparent-conductors__2e246c84ebf049cf8f59574ceaa50530,nomad2018-predict-transparent-conductors,3,0,0.06188,0.06188,0,0.06188;0.06188;0.06188
nomad2018-predict-transparent-conductors__33464d653f384eb5ab38b70fd0ba9350,nomad2018-predict-transparent-conductors,3,0,0.10669,0.10669,0,0.10669;0.10669;0.10669
nomad2018-predict-transparent-conductors__605578a05e824fda8e5a6dafb5403794,nomad2018-predict-transparent-conductors,3,0,0.06063,0.06069,6e-05,0.06069;0.06069;0.06069
nomad2018-predict-transparent-conductors__8814de6c8f9b418c89e39aec59489eba,nomad2018-predict-transparent-conductors,3,0,0.06106,0.06106,0,0.06106;0.06106;0.06106
nomad2018-predict-transparent-conductors__8dd0d4dd71964c2683cd7c1f1556e157,nomad2018-predict-transparent-conductors,3,0,0.06176,0.06232,0.00056,0.06232;0.06232;0.06232
nomad2018-predict-transparent-conductors__9650a21136f346ea9752c7aba99ae3c8,nomad2018-predict-transparent-conductors,3,0,0.06068,0.06068,-6.93889e-18,0.06068;0.06068;0.06068
nomad2018-predict-transparent-conductors__96694f98f5584fb6897b81154448573e,nomad2018-predict-transparent-conductors,3,0,0.06875,0.06875,0,0.06875;0.06875;0.06875
nomad2018-predict-transparent-conductors__9aed5f1eb2464db3ba571b74d6ba15db,nomad2018-predict-transparent-conductors,3,0,0.06378,0.06313,-0.00065,0.06313;0.06313;0.06313
nomad2018-predict-transparent-conductors__c0ccf85048124be6a5518f09f1fc7279,nomad2018-predict-transparent-conductors,3,0,0.05992,0.05992,0,0.05992;0.05992;0.05992
nomad2018-predict-transparent-conductors__c1a737f5d3b44a52b00c50392a04310b,nomad2018-predict-transparent-conductors,3,0,0.06254,0.06254,0,0.06254;0.06254;0.06254
nomad2018-predict-transparent-conductors__c6063ed4dbc34741901597a58c54deef,nomad2018-predict-transparent-conductors,3,1.05479,8.93392,5.06476,-3.86916,5.90854;5.70819;3.57755
nomad2018-predict-transparent-conductors__cd821f7c71914bcca8638f440de05835,nomad2018-predict-transparent-conductors,3,0,0.05943,0.05937,-6e-05,0.05937;0.05937;0.05937
nomad2018-predict-transparent-conductors__d00f2b68d47e43eea346a1e7746fac93,nomad2018-predict-transparent-conductors,3,0,0.24886,0.24886,0,0.24886;0.24886;0.24886
nomad2018-predict-transparent-conductors__e5f336c682a841ecba28f339ba732bd6,nomad2018-predict-transparent-conductors,3,0,0.05761,0.05761,0,0.05761;0.05761;0.05761
nomad2018-predict-transparent-conductors__e9508f33ba584363b8e3d7814fa8d646,nomad2018-predict-transparent-conductors,3,0,0.06024,0.06024,-6.93889e-18,0.06024;0.06024;0.06024
nomad2018-predict-transparent-conductors__ed6aa9b9652f459ebe9e91cb92016843,nomad2018-predict-transparent-conductors,3,0,0.75058,0.72892,-0.02166,0.72892;0.72892;0.72892
spaceship-titanic__1c8d051c9d494cbc9dbf51a59da3088a,spaceship-titanic,3,0,0.81149,0.81149,0,0.81149;0.81149;0.81149
spaceship-titanic__1fb1a1f4a1b74fc28ce547ce4709158c,spaceship-titanic,3,0,0.79885,0.79655,-0.0023,0.79655;0.79655;0.79655
spaceship-titanic__1ff9b520c3c34301aabeb5768f0d4ceb,spaceship-titanic,3,0,0.72299,0.72299,-1.11022e-16,0.72299;0.72299;0.72299
spaceship-titanic__23a04e1a53e84422862f4f84f606e75f,spaceship-titanic,3,0,0.8069,0.8069,1.11022e-16,0.8069;0.8069;0.8069
spaceship-titanic__2d62f70f96034407acb558ffe3a5ddcb,spaceship-titanic,3,0,0.74713,0.74713,0,0.74713;0.74713;0.74713
spaceship-titanic__46e50f1a3d7f4951993a1d99d889e725,spaceship-titanic,3,0,0.81149,0.81034,-0.00115,0.81034;0.81034;0.81034
spaceship-titanic__5acdf9e9e3374bf1aef99c0148496ac7,spaceship-titanic,3,0,0.65747,0.65862,0.00115,0.65862;0.65862;0.65862
spaceship-titanic__608543df8272420a893497b0ecf770ba,spaceship-titanic,3,0,0.81609,0.81609,0,0.81609;0.81609;0.81609
spaceship-titanic__61c0d2cd2b494e8c81dc553e4d331745,spaceship-titanic,3,0,0.82759,0.83218,0.00459,0.83218;0.83218;0.83218
spaceship-titanic__6276d4d313d847a7b3199bb7204ddee2,spaceship-titanic,3,0,0.82299,0.82299,0,0.82299;0.82299;0.82299
spaceship-titanic__62951bfa77d34d62bdc94056383cf44f,spaceship-titanic,3,0,0.73563,0.73678,0.00115,0.73678;0.73678;0.73678
spaceship-titanic__6bf17059ae354ab49992e4759c6b3337,spaceship-titanic,3,0,0.50345,0.50345,0,0.50345;0.50345;0.50345
spaceship-titanic__6fd433ccecca4773b01d3d62e87daba8,spaceship-titanic,3,0,0.82069,0.8092,-0.01149,0.8092;0.8092;0.8092
spaceship-titanic__74cf5c051baa4909860ab7127d43bffb,spaceship-titanic,3,0,0.81724,0.81724,0,0.81724;0.81724;0.81724
spaceship-titanic__786e1389cede48768ca79ad3b82c06a9,spaceship-titanic,3,0,0.81379,0.81379,0,0.81379;0.81379;0.81379
spaceship-titanic__9927659355174a92a3f9f4dbb2c13262,spaceship-titanic,3,0,0.8046,0.81149,0.00689,0.81149;0.81149;0.81149
spaceship-titanic__99b0cac10aff4ab98cb7fb4f6f305cd1,spaceship-titanic,3,0.00430291,0.77356,0.77586,0.0023,0.77701;0.78046;0.77011
spaceship-titanic__b6d2701370fb47ae8b7018d1c33f347c,spaceship-titanic,3,0,0.8,0.8,1.11022e-16,0.8;0.8;0.8
spaceship-titanic__c812a5b9ff99462e93fb9bb614e2fc2c,spaceship-titanic,3,0.00162163,0.8092,0.810343,0.00114333,0.81149;0.81149;0.80805
spaceship-titanic__cab79f89a50d4ff4ae17dfc24ebfc95f,spaceship-titanic,3,0.000938971,0.81034,0.81379,0.00345,0.81494;0.81264;0.81379
spaceship-titanic__d6d06a8ac5a94d6fb097867f235724a8,spaceship-titanic,3,0.00195462,0.80345,0.806133,0.00268333,0.80805;0.8069;0.80345
spaceship-titanic__dbfc5d48b9dc4c84977ae27c6f978085,spaceship-titanic,3,0,0.81379,0.80805,-0.00574,0.80805;0.80805;0.80805
spaceship-titanic__f87370bf2ccc408f89d8c3e5beab890a,spaceship-titanic,3,0,0.82414,0.82414,0,0.82414;0.82414;0.82414
tabular-playground-series-dec-2021__004c946dc71543b1a028f2808e8b1a90,tabular-playground-series-dec-2021,3,0,0.95143,0.95127,-0.00016,0.95127;0.95127;0.95127
tabular-playground-series-dec-2021__0922d1c601a0437e9655f272deda2e68,tabular-playground-series-dec-2021,3,0.000135974,0.9594,0.959213,-0.000186667,0.9594;0.95908;0.95916
tabular-playground-series-dec-2021__4249cef7db9d4533bfd6b98d6eb18dca,tabular-playground-series-dec-2021,3,6.16441e-05,0.95685,0.95662,-0.00023,0.95654;0.95669;0.95663
tabular-playground-series-dec-2021__439b888cd08a44bbb80496dd144ca89b,tabular-playground-series-dec-2021,3,0,0.94824,0.94824,-1.11022e-16,0.94824;0.94824;0.94824
tabular-playground-series-dec-2021__55f8721c1ee1429aa5c3d3633b088d6a,tabular-playground-series-dec-2021,3,0,0.95225,0.95014,-0.00211,0.95014;0.95014;0.95014
tabular-playground-series-dec-2021__5e6f3013065949479eaaaf856ea5a8b5,tabular-playground-series-dec-2021,3,8.01388e-05,0.95884,0.958917,7.66667e-05,0.95886;0.95903;0.95886
tabular-playground-series-dec-2021__6b96c8d8b5d84570b00bc8d37b17ae39,tabular-playground-series-dec-2021,3,0,0.96191,0.96191,0,0.96191;0.96191;0.96191
tabular-playground-series-dec-2021__6e34d57b6cab4e9d80c7cdbf6e786f95,tabular-playground-series-dec-2021,3,0,0.95064,0.95064,0,0.95064;0.95064;0.95064
tabular-playground-series-dec-2021__85207a625e4d48769b7bd54b09bc8bb6,tabular-playground-series-dec-2021,3,0.00408289,0.86997,0.868033,-0.00193667,0.86994;0.86236;0.8718
tabular-playground-series-dec-2021__c9ebe19ec5664d3ab272e1a905794b04,tabular-playground-series-dec-2021,3,0,0.96177,0.96177,0,0.96177;0.96177;0.96177
tabular-playground-series-dec-2021__cb990b05977740e39ca89627d1dc4735,tabular-playground-series-dec-2021,3,0,0.92863,0.92863,0,0.92863;0.92863;0.92863
tabular-playground-series-dec-2021__d02a8685a9ec41c1b9e55ec1de5cc657,tabular-playground-series-dec-2021,3,0,0.93281,0.95039,0.01758,0.95039;0.95039;0.95039
tabular-playground-series-dec-2021__db46e88b25c049568da1ae1c23e0bcd4,tabular-playground-series-dec-2021,3,0,0.94993,0.94987,-6e-05,0.94987;0.94987;0.94987
tabular-playground-series-dec-2021__e210d710fc82438a85b70c7b5b84ef1f,tabular-playground-series-dec-2021,3,4.71405e-06,0.94499,0.944987,-3.33333e-06,0.94498;0.94499;0.94499
tabular-playground-series-dec-2021__efedf4694fb24b71a4a11f714fd5e3f1,tabular-playground-series-dec-2021,3,0,0.96282,0.96282,1.11022e-16,0.96282;0.96282;0.96282
tabular-playground-series-dec-2021__f1d63b6778234e678827cb070ff83e75,tabular-playground-series-dec-2021,3,0,0.94731,0.94715,-0.00016,0.94715;0.94715;0.94715
tabular-playground-series-may-2022__1c19507913f94c4cb31b79b38aea831f,tabular-playground-series-may-2022,3,0,0.94014,0.94014,0,0.94014;0.94014;0.94014
tabular-playground-series-may-2022__26a628fe18cd44e58e7dd3abc859d962,tabular-playground-series-may-2022,3,4.6428e-05,0.93293,0.932937,6.66667e-06,0.93289;0.93292;0.933
tabular-playground-series-may-2022__28b7b1041b17409cb21f7b9b70b70178,tabular-playground-series-may-2022,3,0,0.81387,0.81387,0,0.81387;0.81387;0.81387
tabular-playground-series-may-2022__2efaeda9f9c9409ebc7d1c95f216df29,tabular-playground-series-may-2022,3,0,0.94627,0.94627,-1.11022e-16,0.94627;0.94627;0.94627
