JobID|JobName|State|ExitCode|Elapsed|AllocTRES|NodeList
10820_0|e1_balanced-e1-real-e59a759d-a1_stage1|COMPLETED|0:0|00:14:18|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10820_0.batch|batch|COMPLETED|0:0|00:14:18|cpu=6,mem=0,node=1|gpu27
10820_0.extern|extern|COMPLETED|0:0|00:14:18|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10820_1|e1_balanced-e1-real-e59a759d-a1_stage1|COMPLETED|0:0|00:10:46|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10820_1.batch|batch|COMPLETED|0:0|00:10:46|cpu=6,mem=0,node=1|gpu27
10820_1.extern|extern|COMPLETED|0:0|00:10:46|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10820_6|e1_balanced-e1-real-e59a759d-a1_stage1|COMPLETED|0:0|00:03:31|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10820_6.batch|batch|COMPLETED|0:0|00:03:31|cpu=6,mem=0,node=1|gpu27
10820_6.extern|extern|COMPLETED|0:0|00:03:31|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10820_7|e1_balanced-e1-real-e59a759d-a1_stage1|COMPLETED|0:0|00:03:30|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10820_7.batch|batch|COMPLETED|0:0|00:03:30|cpu=6,mem=0,node=1|gpu27
10820_7.extern|extern|COMPLETED|0:0|00:03:30|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10826_2|e1_balanced-e1-real-e59a759d-a1_stage2|COMPLETED|0:0|00:10:08|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10826_2.batch|batch|COMPLETED|0:0|00:10:08|cpu=6,mem=0,node=1|gpu27
10826_2.extern|extern|COMPLETED|0:0|00:10:08|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10826_3|e1_balanced-e1-real-e59a759d-a1_stage2|COMPLETED|0:0|00:13:16|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10826_3.batch|batch|COMPLETED|0:0|00:13:16|cpu=6,mem=0,node=1|gpu27
10826_3.extern|extern|COMPLETED|0:0|00:13:16|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10826_4|e1_balanced-e1-real-e59a759d-a1_stage2|COMPLETED|0:0|00:03:20|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10826_4.batch|batch|COMPLETED|0:0|00:03:20|cpu=6,mem=0,node=1|gpu27
10826_4.extern|extern|COMPLETED|0:0|00:03:20|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10826_5|e1_balanced-e1-real-e59a759d-a1_stage2|COMPLETED|0:0|00:03:07|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
10826_5.batch|batch|COMPLETED|0:0|00:03:07|cpu=6,mem=0,node=1|gpu27
10826_5.extern|extern|COMPLETED|0:0|00:03:07|billing=6,cpu=6,gres/gpu=1,node=1|gpu27
