code_sha256,exit_code,independent_score,index,node,original_selected,raw_code_sha256,run,score,seed,slot,status,task,timed_out,valid,wall_seconds
33cda1f377275936a54e7191947af1063f1e45aa712b20be976c65ca5cbc8ba5,0,0.4097469770157427,0,e4ecc3bf9f19482781c40c8a8f9b25a8,False,33cda1f377275936a54e7191947af1063f1e45aa712b20be976c65ca5cbc8ba5,3277c81be72a1c30,0.40975,1,0,returned,spooky-author-identification,False,True,108.37061813700711
2daa7a5e7ab42cf0ace5ad035484bdee19f54ee37774386656691a9ce74cd2e7,0,0.48342976635786983,1,1368c211e847436fb32301b125c39a76,False,2daa7a5e7ab42cf0ace5ad035484bdee19f54ee37774386656691a9ce74cd2e7,3277c81be72a1c30,0.48343,1,1,returned,spooky-author-identification,False,True,1397.4163650330156
c2d57e68d325a012b02b56c3b25a1ad59c95a6db8ecedb140bd1771410857641,1,,2,e9292e0a154f41adb7e6c2a6c6bdbe1d,True,c2d57e68d325a012b02b56c3b25a1ad59c95a6db8ecedb140bd1771410857641,3277c81be72a1c30,,1,2,returned,spooky-author-identification,False,False,11.840439824998612
bc36d982619920bfd97225e293464ef942011b386a745403c5ed404318ec1848,0,0.612663306492454,3,bc14d75cae454970ae588d066500a351,False,bc36d982619920bfd97225e293464ef942011b386a745403c5ed404318ec1848,3277c81be72a1c30,0.61266,1,3,returned,spooky-author-identification,False,True,90.81886197900167
01edc95c44c3402bfa664bb584d9f8968c5378e43e9f9ba159824bccbd713a67,1,,4,abd782484bc6453aa688f4420309535b,True,01edc95c44c3402bfa664bb584d9f8968c5378e43e9f9ba159824bccbd713a67,3277c81be72a1c30,,1,4,returned,spooky-author-identification,False,False,17.918240333005087
cbead0dea29f12b62ec30ed844e872b14435bb2204c36dba67313e7518448b8e,1,,5,76eb6d81ae5046d4ad48027b9a5a1e41,False,cbead0dea29f12b62ec30ed844e872b14435bb2204c36dba67313e7518448b8e,3277c81be72a1c30,,1,5,returned,spooky-author-identification,False,False,22.466746178019093
1b40bb3ec8f2fb3ec7df903d11bababc5bbc26f59fd913b310918a028795685a,1,,6,03e046a643bc4b969a873c6d28b0a71b,False,1b40bb3ec8f2fb3ec7df903d11bababc5bbc26f59fd913b310918a028795685a,58d3914785a2cfe1,,2,0,returned,spooky-author-identification,False,False,361.04527858801885
defd0cca8c58217b51c2f08fd17bcac812f82c25b255afbded1640ce9a20005e,1,,7,a95f3a1a09754008bd019dbb5955584e,True,defd0cca8c58217b51c2f08fd17bcac812f82c25b255afbded1640ce9a20005e,58d3914785a2cfe1,,2,1,returned,spooky-author-identification,False,False,10.34918826300418
6cdd9882b4b94b715aafc0a8a431d215f33f0ad21589af01d3394cd36a70da6d,1,,8,0a528eaed9514ff9bd242506f70552d3,False,6cdd9882b4b94b715aafc0a8a431d215f33f0ad21589af01d3394cd36a70da6d,58d3914785a2cfe1,,2,2,returned,spooky-author-identification,False,False,7.340478553989669
f373a41ff5e4f07faaae7ce7e3d0cfe69c6e97fbfb6717257fa47ff70782a2df,1,,9,2f3e6dfcb8e44046955a4d739823c778,False,f373a41ff5e4f07faaae7ce7e3d0cfe69c6e97fbfb6717257fa47ff70782a2df,58d3914785a2cfe1,,2,3,returned,spooky-author-identification,False,False,559.4196387330012
26c65de3fd654d092560cb2097f7d6548ed17336854fcf06e359f202a873d8fa,1,,10,87174b313139424e81402d79a64b53d1,True,26c65de3fd654d092560cb2097f7d6548ed17336854fcf06e359f202a873d8fa,58d3914785a2cfe1,,2,4,returned,spooky-author-identification,False,False,8.495027644006768
29fc3380f37a38ace20fb209db79037d3cedd37fddb0b8a550426faa4000e5e6,1,,11,069d763a2d2547488ffc21ac39308f3a,False,29fc3380f37a38ace20fb209db79037d3cedd37fddb0b8a550426faa4000e5e6,58d3914785a2cfe1,,2,5,returned,spooky-author-identification,False,False,4.325926207005978
e0c570be02f06794ac96216602b0b12630a7775979540a3ffe55f4f82a209bc1,,,12,5b9cd32204c3440dac7fa60cd214150e,False,e0c570be02f06794ac96216602b0b12630a7775979540a3ffe55f4f82a209bc1,e4a4275f2df8028e,,3,0,not_started,spooky-author-identification,,,
051705671bdaed4007783b885af36d721c6d1576dc5e96b17c8df81b62f8504b,,,13,4f611c2460c24fed9a438ad06361e90c,True,051705671bdaed4007783b885af36d721c6d1576dc5e96b17c8df81b62f8504b,e4a4275f2df8028e,,3,1,not_started,spooky-author-identification,,,
9595980ee43c0973a4fcbe1ed5a133dde6ab1eb741d73ea27990595e69c3bca2,,,14,215ddc7cc09d4c9b803c5e907a0febab,False,9595980ee43c0973a4fcbe1ed5a133dde6ab1eb741d73ea27990595e69c3bca2,e4a4275f2df8028e,,3,2,not_started,spooky-author-identification,,,
50bd35977780ccda7df4d37190d588bb06a1f6ee3fe2e38247dc13d851252df6,,,15,6c16e24474e2420aa84749cca7ec4fcc,True,50bd35977780ccda7df4d37190d588bb06a1f6ee3fe2e38247dc13d851252df6,e4a4275f2df8028e,,3,3,not_started,spooky-author-identification,,,
68d71f9c1e9de7d54b022ab1e37bd0fdcb2e1b6042d8961ac66210170a7a9002,,,16,f2fe279e88d24765b17acf70142cb64f,False,68d71f9c1e9de7d54b022ab1e37bd0fdcb2e1b6042d8961ac66210170a7a9002,e4a4275f2df8028e,,3,4,not_started,spooky-author-identification,,,
58d5281e9158471aa43a72727f5adddb0e2216e9c971df5efe06a33acf9cd0c3,,,17,7fd543de108e48eaa44f25c5fb17cbc7,False,58d5281e9158471aa43a72727f5adddb0e2216e9c971df5efe06a33acf9cd0c3,e4a4275f2df8028e,,3,5,not_started,spooky-author-identification,,,
