code_commit,repeat,sequence,arm,seed,trajectory,parameters,world_size,dtype,optimizer,weight_decay,max_context_contract,actual_tokens_this_segment,start_step,end_step,plan_sha256,status,segment_seconds_max_rank,first_update_seconds_max_rank,later_update_seconds_max_rank,checkpoint_seconds_max_rank,GPU_hours,classification,queue_and_setup_time_included
95e72f37c1b745ca101390c887c41eed6e9b6f28,a,1,Lbudget,6,full,4433,2,float32,AdamW,0,16384,592,0,2,99d784ef407fa908ba4871dce1d7fb9cf22c9490e19a00029c22adcf4dfd8b79,COMPLETED,0.3834814680740237,0.06167990807443857,0.03803648054599762,0.2584456857293844,0,ENGINEERING_ONLY_NOT_EFFECT,False
95e72f37c1b745ca101390c887c41eed6e9b6f28,a,2,G-reuse-to-L-full,6,full,4433,2,float32,AdamW,0,16384,592,0,2,586d881031cea83349cdf0285ceabc21c096ff73ea74ef1cb7d49be34a1b485c,COMPLETED,0.2340375231578946,0.028712356463074684,0.03321556933224201,0.14649480022490025,0,ENGINEERING_ONLY_NOT_EFFECT,False
95e72f37c1b745ca101390c887c41eed6e9b6f28,a,3,G-reuse-to-L-full,7,full,4433,2,float32,AdamW,0,16384,592,0,2,4f3a04c2fde1badcea33aeb05c6b1dc96f831f28dab47501b8a24f0b7a9b37c6,COMPLETED,0.37828183360397816,0.05754829756915569,0.03992196172475815,0.24328487738966942,0,ENGINEERING_ONLY_NOT_EFFECT,False
95e72f37c1b745ca101390c887c41eed6e9b6f28,a,4,Lbudget,7,full,4433,2,float32,AdamW,0,16384,592,0,2,57c18aea6e4bf93e43d1bb2bb367abdc20e4ddd4aa13ad6d1c73ce9884605b50,COMPLETED,0.38865496404469013,0.05497216898947954,0.04212284926325083,0.2534573236480355,0,ENGINEERING_ONLY_NOT_EFFECT,False
95e72f37c1b745ca101390c887c41eed6e9b6f28,a,1,Lbudget,6,prefix,4433,2,float32,AdamW,0,16384,296,0,1,99d784ef407fa908ba4871dce1d7fb9cf22c9490e19a00029c22adcf4dfd8b79,CHECKPOINTED_NOT_COMPLETED,0.1744605703279376,0.051347085274755955,,0.10058334562927485,0,ENGINEERING_ONLY_NOT_EFFECT,False
95e72f37c1b745ca101390c887c41eed6e9b6f28,a,1,Lbudget,6,resume,4433,2,float32,AdamW,0,16384,296,1,2,99d784ef407fa908ba4871dce1d7fb9cf22c9490e19a00029c22adcf4dfd8b79,COMPLETED,0.3109411709010601,0.05270983371883631,,0.10479003190994263,0,ENGINEERING_ONLY_NOT_EFFECT,False
95e72f37c1b745ca101390c887c41eed6e9b6f28,a,2,G-reuse-to-L-full,6,prefix,4433,2,float32,AdamW,0,16384,296,0,1,586d881031cea83349cdf0285ceabc21c096ff73ea74ef1cb7d49be34a1b485c,CHECKPOINTED_NOT_COMPLETED,0.14721852634102106,0.02830824814736843,,0.09380803257226944,0,ENGINEERING_ONLY_NOT_EFFECT,False
95e72f37c1b745ca101390c887c41eed6e9b6f28,a,2,G-reuse-to-L-full,6,resume,4433,2,float32,AdamW,0,16384,296,1,2,586d881031cea83349cdf0285ceabc21c096ff73ea74ef1cb7d49be34a1b485c,COMPLETED,0.2439049044623971,0.04120965767651796,,0.10181284416466951,0,ENGINEERING_ONLY_NOT_EFFECT,False
95e72f37c1b745ca101390c887c41eed6e9b6f28,b,1,Lbudget,6,full,4433,2,float32,AdamW,0,16384,592,0,2,99d784ef407fa908ba4871dce1d7fb9cf22c9490e19a00029c22adcf4dfd8b79,COMPLETED,0.2501451848074794,0.03859043028205633,0.02590331621468067,0.1491861790418625,0,ENGINEERING_ONLY_NOT_EFFECT,False
95e72f37c1b745ca101390c887c41eed6e9b6f28,b,2,G-reuse-to-L-full,6,full,4433,2,float32,AdamW,0,16384,592,0,2,586d881031cea83349cdf0285ceabc21c096ff73ea74ef1cb7d49be34a1b485c,COMPLETED,0.3833334222435951,0.05577934719622135,0.03756616543978453,0.2553217401728034,0,ENGINEERING_ONLY_NOT_EFFECT,False
95e72f37c1b745ca101390c887c41eed6e9b6f28,b,3,G-reuse-to-L-full,7,full,4433,2,float32,AdamW,0,16384,592,0,2,4f3a04c2fde1badcea33aeb05c6b1dc96f831f28dab47501b8a24f0b7a9b37c6,COMPLETED,0.2309718057513237,0.034127723425626755,0.027567662298679352,0.15034162625670433,0,ENGINEERING_ONLY_NOT_EFFECT,False
