arm,seed,rank,completed_steps,source,global_update_pairs,local_pair_visits,local_valid_tokens,cumulative_global_valid_tokens,max_abs_gradient_error,max_abs_parameter_error,pass
L1,6,0,1,L,128,64,512,1024,5.960464477539063e-08,2.3283064365386963e-10,True
L1,6,0,2,L,6,3,24,1072,4.76837158203125e-07,2.3283064365386963e-10,True
Lbudget,6,0,1,L,128,64,512,1024,5.960464477539063e-08,2.3283064365386963e-10,True
Lbudget,6,0,2,L,6,3,24,1072,4.76837158203125e-07,2.3283064365386963e-10,True
Lbudget,6,0,3,L,128,64,512,2096,7.450580596923828e-08,2.3283064365386963e-10,True
Lbudget,6,0,4,L,2,1,8,2112,1.1920928955078125e-07,2.3283064365386963e-10,True
Gbudget,6,0,1,G,128,64,512,1024,6.705522537231445e-08,0.0,True
Gbudget,6,0,2,G,2,1,8,1040,4.76837158203125e-07,0.0,True
Gbudget,6,0,3,G,128,64,512,2064,8.940696716308594e-08,0.0,True
Gbudget,6,0,4,G,2,1,8,2080,2.384185791015625e-07,0.0,True
Gbudget,6,0,5,G,4,2,16,2112,4.76837158203125e-07,0.0,True
G_to_L,6,0,1,G,128,64,512,1024,6.705522537231445e-08,0.0,True
G_to_L,6,0,2,G,2,1,8,1040,4.76837158203125e-07,0.0,True
G_to_L,6,0,3,L,128,64,512,2064,1.341104507446289e-07,1.4551915228366852e-11,True
G_to_L,6,0,4,L,6,3,24,2112,2.384185791015625e-07,1.4551915228366852e-11,True
Ghash_to_L,6,0,1,G,128,64,512,1024,7.450580596923828e-08,9.313225746154785e-10,True
Ghash_to_L,6,0,2,G,2,1,8,1040,3.5762786865234375e-07,9.313225746154785e-10,True
Ghash_to_L,6,0,3,L,128,64,512,2064,1.7136335372924805e-07,9.313225746154785e-10,True
Ghash_to_L,6,0,4,L,6,3,24,2112,2.384185791015625e-07,9.313225746154785e-10,True
L1,6,1,1,L,128,64,512,1024,5.960464477539063e-08,2.3283064365386963e-10,True
L1,6,1,2,L,6,3,24,1072,4.76837158203125e-07,2.3283064365386963e-10,True
Lbudget,6,1,1,L,128,64,512,1024,5.960464477539063e-08,2.3283064365386963e-10,True
Lbudget,6,1,2,L,6,3,24,1072,4.76837158203125e-07,2.3283064365386963e-10,True
Lbudget,6,1,3,L,128,64,512,2096,7.450580596923828e-08,2.3283064365386963e-10,True
Lbudget,6,1,4,L,2,1,8,2112,1.1920928955078125e-07,2.3283064365386963e-10,True
Gbudget,6,1,1,G,128,64,512,1024,6.705522537231445e-08,0.0,True
Gbudget,6,1,2,G,2,1,8,1040,4.76837158203125e-07,0.0,True
Gbudget,6,1,3,G,128,64,512,2064,8.940696716308594e-08,0.0,True
Gbudget,6,1,4,G,2,1,8,2080,2.384185791015625e-07,0.0,True
Gbudget,6,1,5,G,4,2,16,2112,4.76837158203125e-07,0.0,True
G_to_L,6,1,1,G,128,64,512,1024,6.705522537231445e-08,0.0,True
G_to_L,6,1,2,G,2,1,8,1040,4.76837158203125e-07,0.0,True
G_to_L,6,1,3,L,128,64,512,2064,1.341104507446289e-07,1.4551915228366852e-11,True
G_to_L,6,1,4,L,6,3,24,2112,2.384185791015625e-07,1.4551915228366852e-11,True
Ghash_to_L,6,1,1,G,128,64,512,1024,7.450580596923828e-08,9.313225746154785e-10,True
Ghash_to_L,6,1,2,G,2,1,8,1040,3.5762786865234375e-07,9.313225746154785e-10,True
Ghash_to_L,6,1,3,L,128,64,512,2064,1.7136335372924805e-07,9.313225746154785e-10,True
Ghash_to_L,6,1,4,L,6,3,24,2112,2.384185791015625e-07,9.313225746154785e-10,True
