stratum_type,stratum,parents,runs,source_children,raw_children,finite_children,published_endpoints,pair_rows,published_unique_edges,source_pair_capacity,raw_pair_capacity,finite_pair_capacity,source_to_raw_pair_loss,raw_to_finite_pair_loss,finite_to_published_pair_loss,source_to_finite_child_loss_share,source_to_finite_pair_loss_share,pair_minus_child_loss_share,pair_attrition_amplification,finite_pair_retention,published_edge_retention_over_source,published_edge_coverage_over_finite,source_decision_parents,finite_decision_parents,published_decision_parents,decision_parent_survival
overall,all,3252,440,9088,7760,7760,7760,5897,5897,9755,5998,5998,3757,0,101,0.14612676056338025,0.3851358277806253,0.23900906721724502,2.6356283154144,0.6148641722193747,0.6045105074320861,0.9831610536845615,3252,3252,3252,1.0
role,train,2293,333,6543,5499,5499,5499,4263,4263,7344,4324,4324,3020,0,61,0.15955983493810177,0.4112200435729847,0.2516602086348829,2.577215273082413,0.5887799564270153,0.5804738562091504,0.9858926919518964,2293,2293,2293,1.0
role,frozen,845,92,2295,2022,2022,2022,1498,1498,2253,1538,1538,715,0,40,0.1189542483660131,0.3173546382600977,0.1984003898940846,2.6678714095491722,0.6826453617399023,0.6648912561029738,0.9739921976592978,845,845,845,1.0
role,extension,114,15,250,239,239,239,136,136,158,136,136,22,0,0,0.04400000000000004,0.1392405063291139,0.09524050632911385,3.164556962025313,0.8607594936708861,0.8607594936708861,1.0,114,114,114,1.0
task,aptos2019-blindness-detection,64,4,128,128,128,128,64,64,64,64,64,0,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,64,64,64,1.0
task,chaii-hindi-and-tamil-question-answering,141,15,498,400,400,400,416,416,685,416,416,269,0,0,0.19678714859437751,0.39270072992700733,0.19591358133262982,1.9955608520780577,0.6072992700729927,0.6072992700729927,1.0,141,141,141,1.0
task,denoising-dirty-documents,102,25,264,244,244,244,210,210,282,210,210,72,0,0,0.0757575757575758,0.25531914893617025,0.17956157317859445,3.3702127659574455,0.7446808510638298,0.7446808510638298,1.0,102,102,102,1.0
task,dog-breed-identification,84,18,203,185,185,185,127,127,184,127,127,57,0,0,0.08866995073891626,0.3097826086956522,0.22111265795673596,3.4936594202898554,0.6902173913043478,0.6902173913043478,1.0,84,84,84,1.0
task,dogs-vs-cats-redux-kernels-edition,16,4,32,32,32,32,16,16,16,16,16,0,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,16,16,16,1.0
task,google-quest-challenge,58,15,116,116,116,116,58,58,58,58,58,0,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,58,58,58,1.0
task,histopathologic-cancer-detection,70,11,140,140,140,140,70,70,70,70,70,0,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,70,70,70,1.0
task,kuzushiji-recognition,14,5,28,28,28,28,14,14,14,14,14,0,0,0,0.0,0.0,0.0,,1.0,1.0,1.0,14,14,14,1.0
task,leaf-classification,255,31,810,668,668,668,576,576,922,580,580,342,0,4,0.1753086419753086,0.3709327548806941,0.1956241129053855,2.115884024319453,0.6290672451193059,0.6247288503253796,0.993103448275862,255,255,255,1.0
task,learning-agency-lab-automated-essay-scoring-2,37,16,104,86,86,86,61,61,97,61,61,36,0,0,0.17307692307692313,0.3711340206185567,0.1980570975416336,2.144329896907216,0.6288659793814433,0.6288659793814433,1.0,37,37,37,1.0
task,mlsp-2013-birds,116,26,544,323,323,323,342,342,1034,342,342,692,0,0,0.40625,0.6692456479690523,0.2629956479690523,1.6473739026930518,0.3307543520309478,0.3307543520309478,1.0,116,116,116,1.0
