pair_index,left_id,right_id,left_runtime_s,right_runtime_s,serial_runtime_s,ideal_parallel_runtime_s,complete
0,spaceship-titanic__df0e799d4c294c78a20d756c405fee68,spaceship-titanic__ffc4990563cd4b8e8561b15fd47f1488,1.7062013149261475,39.80337595939636,41.50957727432251,39.80337595939636,1
1,random-acts-of-pizza__0f1e5cd6c6de460abaae7877daf9aa69,random-acts-of-pizza__9ca2d2e324f740ef85c2d32a7380ac6f,101.51691206544638,49.6182267293334,151.13513879477978,101.51691206544638,1
2,random-acts-of-pizza__0f1e5cd6c6de460abaae7877daf9aa69,random-acts-of-pizza__fa4524bd04a2450e9f937a60d2db3cce,101.51691206544638,13.233576156198978,114.75048822164536,101.51691206544638,1
3,random-acts-of-pizza__9ca2d2e324f740ef85c2d32a7380ac6f,random-acts-of-pizza__fa4524bd04a2450e9f937a60d2db3cce,49.6182267293334,13.233576156198978,62.85180288553238,49.6182267293334,1
4,random-acts-of-pizza__d49ae6008eca4bd4b3f736f90dc6afac,random-acts-of-pizza__e52f8a668b95496aa04cd6a8d72f6642,51.52516393363476,148.69730837643147,200.22247231006622,148.69730837643147,1
5,random-acts-of-pizza__48a26b3a080a40fd821da95b858b81e1,random-acts-of-pizza__a1be9253611444758ebb44a2998b1396,66.91970460861921,89.95687931776047,156.87658392637968,89.95687931776047,1
6,random-acts-of-pizza__a1be9253611444758ebb44a2998b1396,random-acts-of-pizza__bc46e19e646f4dd69d01f2d9a105da7d,89.95687931776047,61.75491616129875,151.71179547905922,89.95687931776047,1
7,random-acts-of-pizza__48a26b3a080a40fd821da95b858b81e1,random-acts-of-pizza__bc46e19e646f4dd69d01f2d9a105da7d,66.91970460861921,61.75491616129875,128.67462076991796,66.91970460861921,1
8,tweet-sentiment-extraction__0a0cc958b101410bb78c7b4aa2e35de7,tweet-sentiment-extraction__e81936fc2667464d8c5cb91c12c2dae1,1060.3920334205031,564.468799367547,1624.8608327880502,1060.3920334205031,1
9,tabular-playground-series-may-2022__2d85709fd8774828813fe8e2f2ea759f,tabular-playground-series-may-2022__d4a76716e47049e7bbf745b96d90b232,232.87568831443787,725.4842975139618,958.3599858283997,725.4842975139618,1
10,tabular-playground-series-may-2022__3cdbe86c082d46c4826931de8162e809,tabular-playground-series-may-2022__75b0ccf267af4932bd4ca9485d891778,592.6037440299988,854.6099092960358,1447.2136533260345,854.6099092960358,1
11,tabular-playground-series-may-2022__3cdbe86c082d46c4826931de8162e809,tabular-playground-series-may-2022__82638ce991e94173952109cfc2479526,592.6037440299988,1125.3075859546661,1717.911329984665,1125.3075859546661,1
12,tabular-playground-series-may-2022__75b0ccf267af4932bd4ca9485d891778,tabular-playground-series-may-2022__82638ce991e94173952109cfc2479526,854.6099092960358,1125.3075859546661,1979.917495250702,1125.3075859546661,1
13,tabular-playground-series-may-2022__242786b5b67d461d9e11c4830b75eb8c,tabular-playground-series-may-2022__5e16ecb8fdb1429ca6617f25dc3dffac,461.89919543266296,1436.3660490512848,1898.2652444839478,1436.3660490512848,1
14,tabular-playground-series-may-2022__242786b5b67d461d9e11c4830b75eb8c,tabular-playground-series-may-2022__f7fdb3bb45a9446a892b9658a7649f80,461.89919543266296,335.37664318084717,797.2758386135101,461.89919543266296,1
15,tabular-playground-series-may-2022__5e16ecb8fdb1429ca6617f25dc3dffac,tabular-playground-series-may-2022__f7fdb3bb45a9446a892b9658a7649f80,1436.3660490512848,335.37664318084717,1771.742692232132,1436.3660490512848,1
16,tabular-playground-series-may-2022__3bd55e0164e9413cbeaa16b558f4b9b5,tabular-playground-series-may-2022__dd85f0501dc3491ab42ffdbb35eed3b8,1203.5783696174622,332.0930631160736,1535.6714327335358,1203.5783696174622,1
17,tabular-playground-series-may-2022__3bd55e0164e9413cbeaa16b558f4b9b5,tabular-playground-series-may-2022__54771d7d3c3243cb98c0e06d98a7229e,1203.5783696174622,280.2801833152771,1483.8585529327393,1203.5783696174622,1
18,tabular-playground-series-may-2022__54771d7d3c3243cb98c0e06d98a7229e,tabular-playground-series-may-2022__dd85f0501dc3491ab42ffdbb35eed3b8,280.2801833152771,332.0930631160736,612.3732464313507,332.0930631160736,1
19,tabular-playground-series-may-2022__acc1fcf0ee1443d9aaaaebc6a987d4a6,tabular-playground-series-may-2022__d5e2c7b5b01e4726a0b17095a62c1f1f,37.956825971603394,42.038007974624634,79.99483394622803,42.038007974624634,1
20,tabular-playground-series-may-2022__2ad9a5ac523247fea906ca8f4f5739f0,tabular-playground-series-may-2022__f52e40ae48484633b14ef62a5af829b8,1105.24240732193,889.7550263404846,1994.9974336624146,1105.24240732193,1
