card_id,task,run_id,static_lr,char_tfidf_lr
aptos2019-blindness-detection__0832cd37204348febb7b45c602c8ccbc,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.4537576355832682,0.3140634545798498
aptos2019-blindness-detection__0b9052b7e7174911a4d9fde5230db891,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.9908520605099562,0.084121144097449418
aptos2019-blindness-detection__0c61c5bf63074608ba5807e0968bf064,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.6703673613653434,0.01897740749130895
aptos2019-blindness-detection__116e5dcdfe86493c9193363159176d56,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.3621102605955948,0.09275271373881265
aptos2019-blindness-detection__140c27c2e4b341c9b03f51ea22699acf,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.3250055013854587,0.44504704899446695
aptos2019-blindness-detection__1e8f9b08dcd449b89546014447c51001,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.4181421809574961,-0.00539838206983428
aptos2019-blindness-detection__1f01285733744c018044b2b212ca6925,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.2408981290698813,0.6518637961548206
aptos2019-blindness-detection__21115182d7e84c87b4ac30f86564e5c0,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.5668342513101932,0.078974514741420754
aptos2019-blindness-detection__21ae5e4b86694abc8289e9e59853234e,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.7993598651211458,0.10736204923882964
aptos2019-blindness-detection__276032c2bf774cd59a247f3960e101d6,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.6763534887259275,-0.004506164027048648
aptos2019-blindness-detection__2ab53c1b07b6494c9d21273e93221986,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.3563448882532159,0.19656355373284204
aptos2019-blindness-detection__2aef8c96211d42ff9762f058db2fa1d9,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.7851483746260186,0.27553603552462197
aptos2019-blindness-detection__2f83c438228d441c9250acad242c0bbf,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.7287978596226266,0.14128356295905686
aptos2019-blindness-detection__301b2674ba114995ad36ac3fc1e2c569,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.5585007200817367,0.21209324903948779
aptos2019-blindness-detection__32b9be45cce248959e8f37c183044f60,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.5443893762479621,0.11958938372250913
aptos2019-blindness-detection__3789c588869147f4ba7a64d6dcb8d6b1,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.3795370238256888,0.44800953332059118
aptos2019-blindness-detection__42076f30966f44fc86eee98f7b6e35f6,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.7986231606389818,0.19248139124190214
aptos2019-blindness-detection__487cb05ec3dc4469a3b9a27fd2a9dafd,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.6256370131152453,-0.019841748840872902
aptos2019-blindness-detection__4d0a9c0c51f04dbca6c4886d7be11c33,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.8570294311315405,0.15598324383528592
aptos2019-blindness-detection__4e92252c78f1464dbeecd45cf93c978d,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.7767661053738897,0.066283111125467836
aptos2019-blindness-detection__4ee4f6fe183b4e8facdd5449ea3d03e1,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.9240114050345136,0.47542635871639127
aptos2019-blindness-detection__556f11b947c34f4893b2131620335447,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.5378968899879546,0.10188899473010937
aptos2019-blindness-detection__566086d0c6bf4930a96066a727d802a5,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.4231591067209728,0.64672125601633934
aptos2019-blindness-detection__5b1ffdeac6f34d4c936a7bf6f37d5a08,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.5575497795492361,0.33229874847019103
aptos2019-blindness-detection__5c27f9da52ee4712a25e8550992600ed,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.3669596626615397,0.35538259911636166
aptos2019-blindness-detection__5ea5c0d2e65e47699e9f71d7a58a942a,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.5704043189518007,0.35912505870901718
aptos2019-blindness-detection__64525672cf834a1e83d556a58f88bff8,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.8022010865388336,-0.11083515280592474
aptos2019-blindness-detection__6831ecf58f56434c8938af19042b2f7e,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.4740037079520039,-0.068043466552932252
aptos2019-blindness-detection__6883c7761a514663a294738730ed173e,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.3408087465948948,0.20344575047484187
aptos2019-blindness-detection__6a7edb0a239a40ae8ad686178aba8479,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.4585048877691673,0.10009557820634113
aptos2019-blindness-detection__6dbd1b1d539e48ab871516fd4fffd942,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.496589418703073,0.35033494189464526
aptos2019-blindness-detection__6e50dba26b8449cfaae46ebf62dcaf96,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.4226042291408458,0.31065238465853834
aptos2019-blindness-detection__724e868151154107bb3435fd5b2f79e8,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.7854048554156003,0.007321164427449919
aptos2019-blindness-detection__7262c22144bf4b95a620b586a9e8b00a,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.65824070277182,0.18850936300418247
aptos2019-blindness-detection__757867304a664e9b8b1f21338d9db55f,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.6069263608005062,0.059587372544939607
aptos2019-blindness-detection__783b8c062e8e42fcbe06f168c0d0e3f0,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.510570082323889,0.27233751023234176
aptos2019-blindness-detection__7b85b256036b48c684533b171d58c0f8,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.2990250835973907,0.54401481382166506
aptos2019-blindness-detection__7fbb16dc51c34130a2fde525b871b069,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.7964980778203434,0.069355322845902359
aptos2019-blindness-detection__86a6b7eeb9d741c8b9a59d4b0d9669fe,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.8380155575654173,0.1604507880284001
aptos2019-blindness-detection__890cb50d2d104ee8b0ee7b7b094f2f4e,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.6781713131116724,-0.11648709267682907
aptos2019-blindness-detection__8943e625082941b9814062749ad18f76,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.3157772019660594,0.70107023174430172
aptos2019-blindness-detection__916e6a623abd47ab9d1222e49a2a70b0,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.4398798234925247,0.4146867742816272
aptos2019-blindness-detection__92c062f2f2214a2bb19a7af2c8cb9ade,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.6725801384814432,0.21561438712722586
aptos2019-blindness-detection__98e12a8f94a146d887ae9d367e8fe9a4,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.731689993172278,0.21521934261517439
aptos2019-blindness-detection__9b2a494c3f794be58951a352a7eebb2e,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.2810564093283208,0.67668563522709202
aptos2019-blindness-detection__a2ab264ed7ba43b98f9f47fe6413ce09,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.2678728088973343,0.42625917735427532
aptos2019-blindness-detection__b22e7989c4ae465c8c3b0f75f2ef14da,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.6185784614409784,0.093700400067193143
aptos2019-blindness-detection__b4964950be8a4111915ffacc06e9ffab,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.5725005337694162,0.14666731140841752
aptos2019-blindness-detection__b7f3ed43193f4e83ba17939acb4d7670,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.4909001008832037,0.0072452192933344086
aptos2019-blindness-detection__b84d4373169547a788bdf9249a420b57,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.1883835566507504,-0.19039587689197665
aptos2019-blindness-detection__b99010b9db684a2498206475f444eea2,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.7832133831444426,0.16266324443024269
aptos2019-blindness-detection__c3602017c7e64ecbaddadbf0bfee5c2d,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.6203195277439781,0.39447893074994711
aptos2019-blindness-detection__c7e1a42e79af4b56a67866fdfd7986b8,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.3729678054037124,0.67435714929844359
aptos2019-blindness-detection__d340b8144aca41138123b415cffdea9a,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.5321970755385388,0.24878049451590376
aptos2019-blindness-detection__d5c4c24f98c34ef99178dff4ce5a26ae,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.5592648491149992,0.45424917614135552
aptos2019-blindness-detection__d65077f7004c4fc0838958f73dfb6c5e,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.4792823948616136,0.46333364649263459
aptos2019-blindness-detection__dd4404f2388645f1b1b161958ae5f826,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.2060855392540371,0.11701053799918731
aptos2019-blindness-detection__ddcae02bb2524f0c81ade1410b30a7cc,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.5044086824282605,0.47366045684311969
aptos2019-blindness-detection__e0a859e44294459f9c9ee3355437e5b0,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.3137908969489116,0.49749497843391149
aptos2019-blindness-detection__e36f43a1698f4f128c21cbedbc691296,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.2908591010974257,0.33027048770664963
aptos2019-blindness-detection__e40bacbc01984226b8ffb3bce8f95cd5,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.3831516378928832,0.35923146002973405
aptos2019-blindness-detection__e5ed3e85e7424bfa9d73b72c5b4a94c3,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.524127971452359,0.088752234399737562
aptos2019-blindness-detection__e8ed54eb1f0c416f96153afde055dd05,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.6809236148397724,0.13780420741182106
aptos2019-blindness-detection__eb3a671f15564d19a45452079516889c,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.5196905101204665,0.26642378649121717
aptos2019-blindness-detection__eba0ae2f8c6e4ef59eb06809a7551fff,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.2796647014789639,0.7229146090010854
aptos2019-blindness-detection__f2811fa445504df3bb3d5564186a066a,aptos2019-blindness-detection,cards_senior_0808.jsonl:14,1.7940029640212591,0.3355298233696738
aptos2019-blindness-detection__faad41d89a3d43efadf19ab74d1e29a0,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.3882650955737588,0.37727481425429493
aptos2019-blindness-detection__fb3c98c1011f44b58051b1f7388c5b8d,aptos2019-blindness-detection,cards_senior_0810.jsonl:16,1.3264351237349141,0.55824637986142078
chaii-hindi-and-tamil-question-answering__00f6be6122584efd8115d6db58c9623d,chaii-hindi-and-tamil-question-answering,cards_deepB2.jsonl:2,1.9596202490315364,-0.29966269278771474
chaii-hindi-and-tamil-question-answering__03a30a92cb084a809832e725dcc687b9,chaii-hindi-and-tamil-question-answering,cards_deepB2.jsonl:0,2.1269932849917295,0.38752975184149785
chaii-hindi-and-tamil-question-answering__04e02e2743ea41d99f9032aa320a6009,chaii-hindi-and-tamil-question-answering,cards_deepB2.jsonl:2,0.48189060139293283,0.022239304767077684
chaii-hindi-and-tamil-question-answering__055a74217b1e401c93850072851b8d9c,chaii-hindi-and-tamil-question-answering,cards_deepB2.jsonl:0,1.5912801910409373,0.48813541319517195
