seed,mode,world_size,pairs_per_rank,accumulation,pairs,changed_pairs,changed_fraction,changed_tasks,tasks_with_at_least_20_changed_pairs,incidence_rank_gain,valid_tokens,padded_slots,optimizer_updates,priority_gate_passed,source_commit
6,legacy,2,8,8,4689,14,0.002985711239070164,4,0,7,32187742,61631842,37,false,064f48a312a9e2f43ca3b9822cb1bfdbc2942caf
6,legacy,4,8,4,4689,14,0.002985711239070164,4,0,7,32187742,61631842,37,false,064f48a312a9e2f43ca3b9822cb1bfdbc2942caf
6,stratum_shared,2,8,8,4689,122,0.026018340797611433,13,2,61,32187742,50780926,37,false,064f48a312a9e2f43ca3b9822cb1bfdbc2942caf
6,stratum_shared,4,8,4,4689,122,0.026018340797611433,13,2,61,32187742,50780926,37,false,064f48a312a9e2f43ca3b9822cb1bfdbc2942caf
7,legacy,2,8,8,4689,12,0.0025591810620601407,5,0,6,32187742,61784576,37,false,064f48a312a9e2f43ca3b9822cb1bfdbc2942caf
7,legacy,4,8,4,4689,12,0.0025591810620601407,5,0,6,32187742,61784576,37,false,064f48a312a9e2f43ca3b9822cb1bfdbc2942caf
7,stratum_shared,2,8,8,4689,118,0.025165280443591384,12,2,59,32187742,50628388,37,false,064f48a312a9e2f43ca3b9822cb1bfdbc2942caf
7,stratum_shared,4,8,4,4689,118,0.025165280443591384,12,2,59,32187742,50628388,37,false,064f48a312a9e2f43ca3b9822cb1bfdbc2942caf
8,legacy,2,8,8,4689,4,0.0008530603540200469,1,0,2,32187742,60989108,37,false,064f48a312a9e2f43ca3b9822cb1bfdbc2942caf
8,legacy,4,8,4,4689,4,0.0008530603540200469,1,0,2,32187742,60989108,37,false,064f48a312a9e2f43ca3b9822cb1bfdbc2942caf
8,stratum_shared,2,8,8,4689,112,0.023885689912561313,12,2,56,32187742,51026094,37,false,064f48a312a9e2f43ca3b9822cb1bfdbc2942caf
8,stratum_shared,4,8,4,4689,112,0.023885689912561313,12,2,56,32187742,51026094,37,false,064f48a312a9e2f43ca3b9822cb1bfdbc2942caf
