code_sha256,execution_seconds,origin,parent_run_id,score,seed,slot,status,task,valid,wall_seconds
62694fc51175ece5512a9004be5024a25393b787619d9f48f62a88c74a3c41b8,,original_direct_call_never_rerun,01-leaf-classification-s30-critic_topk_random,,30,0,original_program_invalid,leaf-classification,False,
39905c2f7dd430ef80cdede747f874b67ac3271e5d1f909b421408ca3108feb5,6.399335246998817,new_unattempted_original,01-leaf-classification-s30-critic_topk_random,,30,1,program_error,leaf-classification,False,10.640221178065985
4a9e239ac14f8256c754d100d547010229a46bfcbb1ccd9c05d829119c8406c4,5.919959594029933,new_unattempted_original,01-leaf-classification-s30-critic_topk_random,,30,2,program_error,leaf-classification,False,10.165947359986603
591be745e88b836b1db5603e3ab5852f60ac2b415c949971d89f05f78e068209,,original_direct_call_never_rerun,01-leaf-classification-s30-critic_topk_random,,30,3,original_exit_zero_uncommitted_node_unknown,leaf-classification,,
9e4c5659794f2bb90bdc4af58e91bfcd8db2760a0390ffd16fca10b6aeb6caf3,6.5987412261310965,new_unattempted_original,02-spaceship-titanic-s30-critic_topk_random,,30,0,program_error,spaceship-titanic,False,10.875688306055963
659546ca448d936c5fa14739451138ac23ca458f7ceaa5cc84aba443af502480,,original_direct_call_never_rerun,02-spaceship-titanic-s30-critic_topk_random,,30,1,original_program_invalid,spaceship-titanic,False,
ca41e5fa98acc3c0675e9b1638315886db1e4c880203858955eedb466538c3cc,,original_direct_call_never_rerun,02-spaceship-titanic-s30-critic_topk_random,,30,2,original_program_invalid,spaceship-titanic,False,
dd1ff550cbcc78a9f555385dcee77b2b85c7ece226932687131c1c49591ae47a,6.639170226175338,new_unattempted_original,02-spaceship-titanic-s30-critic_topk_random,,30,3,program_error,spaceship-titanic,False,11.097400193102658
2095c817eca0644c2c24d33475834c03f2698000bd538dd14aaa0bc0b7dda372,6.145733445184305,new_unattempted_original,04-leaf-classification-s31-critic_topk_random,,31,0,program_error,leaf-classification,False,10.396561705041677
e1bc2e71a2282f373114183eb9cc2ad52ea44d0f1d905641c4c8022edabc351d,,original_direct_call_never_rerun,04-leaf-classification-s31-critic_topk_random,,31,1,original_program_invalid,leaf-classification,False,
8693ebf85470b131c37381bb50c0c4688c02f271cabfe6b57dd7ce2a59480778,5.916167892049998,new_unattempted_original,04-leaf-classification-s31-critic_topk_random,,31,2,program_error,leaf-classification,False,10.200257001910359
82d77e9473c8d48b1c36c5b2cbe6adbc5950b61da017be3886ce386665f8a8e0,,original_direct_call_never_rerun,04-leaf-classification-s31-critic_topk_random,,31,3,original_program_invalid,leaf-classification,False,
5e07027002206612b0a823dd606a27c7297f4046fcdde19a3143abd9febc7e17,6.166433152044192,new_unattempted_original,07-spaceship-titanic-s31-critic_topk_random,,31,0,program_error,spaceship-titanic,False,10.363033768953755
fac90f3b2ca045bb522e6d8322ca9b24693d153d494bc95bedd738594fd38c0a,,original_direct_call_never_rerun,07-spaceship-titanic-s31-critic_topk_random,,31,1,original_program_invalid,spaceship-titanic,False,
27202e42affcd408c3cf14011e827e875f011b692c82616d055e6ed709f10038,5.979652552865446,new_unattempted_original,07-spaceship-titanic-s31-critic_topk_random,,31,2,program_error,spaceship-titanic,False,10.303587944013998
56b77443e9cbdcab54788a23823e32de692273d4d96e777b3320fa39af15b88d,,original_direct_call_never_rerun,07-spaceship-titanic-s31-critic_topk_random,,31,3,original_program_invalid,spaceship-titanic,False,
