run_id,task,seed,arm,cutoff_seconds,valid,score,selected_step,whole_run_technical_eligible
00-leaf-classification-s30-uniform_random,leaf-classification,30,uniform_random,120,True,1.51485,2,True
00-leaf-classification-s30-uniform_random,leaf-classification,30,uniform_random,240,True,1.51485,2,True
00-leaf-classification-s30-uniform_random,leaf-classification,30,uniform_random,360,True,1.51485,6,True
00-leaf-classification-s30-uniform_random,leaf-classification,30,uniform_random,480,True,1.51485,6,True
00-leaf-classification-s30-uniform_random,leaf-classification,30,uniform_random,600,True,1.51485,6,True
01-leaf-classification-s30-critic_topk_random,leaf-classification,30,critic_topk_random,120,True,1.51485,2,True
01-leaf-classification-s30-critic_topk_random,leaf-classification,30,critic_topk_random,240,True,1.51485,2,True
01-leaf-classification-s30-critic_topk_random,leaf-classification,30,critic_topk_random,360,True,1.51485,2,True
01-leaf-classification-s30-critic_topk_random,leaf-classification,30,critic_topk_random,480,True,1.51485,2,True
01-leaf-classification-s30-critic_topk_random,leaf-classification,30,critic_topk_random,600,True,1.51485,2,True
02-spaceship-titanic-s30-critic_topk_random,spaceship-titanic,30,critic_topk_random,120,True,0.79655,2,True
02-spaceship-titanic-s30-critic_topk_random,spaceship-titanic,30,critic_topk_random,240,True,0.81839,6,True
02-spaceship-titanic-s30-critic_topk_random,spaceship-titanic,30,critic_topk_random,360,True,0.81839,8,True
02-spaceship-titanic-s30-critic_topk_random,spaceship-titanic,30,critic_topk_random,480,True,0.81839,8,True
02-spaceship-titanic-s30-critic_topk_random,spaceship-titanic,30,critic_topk_random,600,True,0.81839,8,True
03-spaceship-titanic-s30-uniform_random,spaceship-titanic,30,uniform_random,120,False,,,False
03-spaceship-titanic-s30-uniform_random,spaceship-titanic,30,uniform_random,240,False,,,False
03-spaceship-titanic-s30-uniform_random,spaceship-titanic,30,uniform_random,360,False,,,False
03-spaceship-titanic-s30-uniform_random,spaceship-titanic,30,uniform_random,480,False,,,False
03-spaceship-titanic-s30-uniform_random,spaceship-titanic,30,uniform_random,600,False,,,False
04-leaf-classification-s31-critic_topk_random,leaf-classification,31,critic_topk_random,120,True,1.51485,2,True
04-leaf-classification-s31-critic_topk_random,leaf-classification,31,critic_topk_random,240,True,1.51485,2,True
04-leaf-classification-s31-critic_topk_random,leaf-classification,31,critic_topk_random,360,True,0.37782,6,True
04-leaf-classification-s31-critic_topk_random,leaf-classification,31,critic_topk_random,480,True,0.37782,6,True
04-leaf-classification-s31-critic_topk_random,leaf-classification,31,critic_topk_random,600,True,0.37782,6,True
05-leaf-classification-s31-uniform_random,leaf-classification,31,uniform_random,120,True,1.51485,2,True
05-leaf-classification-s31-uniform_random,leaf-classification,31,uniform_random,240,True,1.51485,2,True
05-leaf-classification-s31-uniform_random,leaf-classification,31,uniform_random,360,True,1.51485,2,True
05-leaf-classification-s31-uniform_random,leaf-classification,31,uniform_random,480,True,1.51485,6,True
05-leaf-classification-s31-uniform_random,leaf-classification,31,uniform_random,600,True,1.51485,6,True
06-spaceship-titanic-s31-uniform_random,spaceship-titanic,31,uniform_random,120,True,0.79655,2,True
06-spaceship-titanic-s31-uniform_random,spaceship-titanic,31,uniform_random,240,True,0.79655,6,True
06-spaceship-titanic-s31-uniform_random,spaceship-titanic,31,uniform_random,360,True,0.81839,10,True
06-spaceship-titanic-s31-uniform_random,spaceship-titanic,31,uniform_random,480,True,0.8069,14,True
06-spaceship-titanic-s31-uniform_random,spaceship-titanic,31,uniform_random,600,True,0.8069,14,True
07-spaceship-titanic-s31-critic_topk_random,spaceship-titanic,31,critic_topk_random,120,True,0.79655,2,True
07-spaceship-titanic-s31-critic_topk_random,spaceship-titanic,31,critic_topk_random,240,True,0.79655,6,True
07-spaceship-titanic-s31-critic_topk_random,spaceship-titanic,31,critic_topk_random,360,True,0.79655,10,True
07-spaceship-titanic-s31-critic_topk_random,spaceship-titanic,31,critic_topk_random,480,True,0.79655,10,True
07-spaceship-titanic-s31-critic_topk_random,spaceship-titanic,31,critic_topk_random,600,True,0.79655,10,True
