run_id,task,seed,arm,job,source_tree,controller_commit,generator,critic,provider,image_version,node,allocated_gpus,allocated_cpus,program_timeout_seconds,selection_top_k,selection_coupling,search_budget_seconds,planned_step_cap,runtime_status,critic_ranking_votes,api_cost_usd,api_responsibility_usd,valid,score,independent_score,selected_step,selected_code_sha256,worker_elapsed_seconds,search_start_ns,technical_eligible,termination_reason,iteration_valid,iteration_score,action_valid,action_score,action_code_sha256,pools,selected_pools,candidate_executions,generated_including_start
00-leaf-classification-s46-uniform,leaf-classification,46,uniform,13298,61b48862532d048f5f04a517e3f89b211c59bd3d,e4f9dfcf409b62ea7d6d00e6e4b9189712029ee3,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,1,common_priority_v1,600,64,failed,0,0.016456128,0.016456128,True,1.51485,1.514851560522969,4,5657c0bc9164a703b0fb311ee9b68c2665778d106588186607f7aaed66ff5fd9,600.1812594220974,2147837599397515,True,timed_out,True,1.51485,True,1.51485,5657c0bc9164a703b0fb311ee9b68c2665778d106588186607f7aaed66ff5fd9,3,3,3,5
01-leaf-classification-s46-short_code,leaf-classification,46,short_code,13298,61b48862532d048f5f04a517e3f89b211c59bd3d,e4f9dfcf409b62ea7d6d00e6e4b9189712029ee3,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,1,common_priority_v1,600,64,failed,0,0.018337761,0.018337761,True,0.35474,0.35474416919629,3,59f262184c419cf9ae82ba78eec753e60395b70219c8131e38c0fc0db0543ab0,593.7375628422014,2148453020560960,True,api_admission_budget_expired,True,0.35474,True,0.35474,59f262184c419cf9ae82ba78eec753e60395b70219c8131e38c0fc0db0543ab0,3,3,3,5
02-leaf-classification-s46-learned_validity,leaf-classification,46,learned_validity,13298,61b48862532d048f5f04a517e3f89b211c59bd3d,e4f9dfcf409b62ea7d6d00e6e4b9189712029ee3,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,1,common_priority_v1,600,64,failed,0,0.008153106,0.008153106,True,1.51485,1.514851560522969,2,5657c0bc9164a703b0fb311ee9b68c2665778d106588186607f7aaed66ff5fd9,562.1793246152811,2149053426263252,True,api_admission_budget_expired,True,1.51485,True,1.51485,5657c0bc9164a703b0fb311ee9b68c2665778d106588186607f7aaed66ff5fd9,2,2,2,3
03-spaceship-titanic-s46-short_code,spaceship-titanic,46,short_code,13298,61b48862532d048f5f04a517e3f89b211c59bd3d,e4f9dfcf409b62ea7d6d00e6e4b9189712029ee3,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,1,common_priority_v1,600,64,failed,0,0.059891403,0.059891403,True,0.81839,0.8183908045977012,11,1f87b9451b0af8e669d8405112312892e5d7a11d16d15320898a7223624c42ad,493.8708138628863,2149623544015937,True,api_admission_budget_expired,True,0.81839,True,0.81839,1f87b9451b0af8e669d8405112312892e5d7a11d16d15320898a7223624c42ad,7,7,7,13
04-spaceship-titanic-s46-learned_validity,spaceship-titanic,46,learned_validity,13298,61b48862532d048f5f04a517e3f89b211c59bd3d,e4f9dfcf409b62ea7d6d00e6e4b9189712029ee3,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,1,common_priority_v1,600,64,failed,0,0.052035009,0.052035009,True,0.80805,0.8080459770114943,8,d6edada71c41d9c4dda8d2d5ecf9f215bd3ee6c3c2d77876a6f20059f72ad708,492.1867927312851,2150123723872447,True,api_admission_budget_expired,True,0.80805,True,0.80805,d6edada71c41d9c4dda8d2d5ecf9f215bd3ee6c3c2d77876a6f20059f72ad708,5,5,5,9
05-spaceship-titanic-s46-uniform,spaceship-titanic,46,uniform,13298,61b48862532d048f5f04a517e3f89b211c59bd3d,e4f9dfcf409b62ea7d6d00e6e4b9189712029ee3,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,1,common_priority_v1,600,64,failed,0,0.064000053,0.064000053,True,0.79655,0.7965517241379311,10,c9280f3ee762f57168326c8c5dda08595fd0784624c8a65102526aae4a7f7b13,507.3819539719261,2150623934284723,True,api_admission_budget_expired,True,0.79655,True,0.79655,c9280f3ee762f57168326c8c5dda08595fd0784624c8a65102526aae4a7f7b13,6,6,6,11
06-leaf-classification-s47-short_code,leaf-classification,47,short_code,13299,61b48862532d048f5f04a517e3f89b211c59bd3d,e4f9dfcf409b62ea7d6d00e6e4b9189712029ee3,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,1,common_priority_v1,600,64,failed,0,0.013422201,0.013422201,True,0.36555,0.36554945915030873,4,081dd84ffa6e9346bdb8f7cac10fff12813b70d0f9070c7c41aed628e12cf8f1,600.088107123971,2147837599529572,True,timed_out,True,0.36555,True,0.36555,081dd84ffa6e9346bdb8f7cac10fff12813b70d0f9070c7c41aed628e12cf8f1,3,3,3,5
07-leaf-classification-s47-learned_validity,leaf-classification,47,learned_validity,13299,61b48862532d048f5f04a517e3f89b211c59bd3d,e4f9dfcf409b62ea7d6d00e6e4b9189712029ee3,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,1,common_priority_v1,600,64,failed,0,0.041334072,0.041334072,True,1.51485,1.514851560522969,8,5657c0bc9164a703b0fb311ee9b68c2665778d106588186607f7aaed66ff5fd9,468.21051830006763,2148453020957840,True,api_admission_budget_expired,True,1.51485,True,1.51485,5657c0bc9164a703b0fb311ee9b68c2665778d106588186607f7aaed66ff5fd9,5,5,5,9
08-leaf-classification-s47-uniform,leaf-classification,47,uniform,13299,61b48862532d048f5f04a517e3f89b211c59bd3d,e4f9dfcf409b62ea7d6d00e6e4b9189712029ee3,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,1,common_priority_v1,600,64,failed,0,0.015210429,0.015210429,True,1.51485,1.514851560522969,4,5657c0bc9164a703b0fb311ee9b68c2665778d106588186607f7aaed66ff5fd9,530.3408238673583,2148928314146870,True,api_admission_budget_expired,True,1.51485,True,1.51485,5657c0bc9164a703b0fb311ee9b68c2665778d106588186607f7aaed66ff5fd9,3,3,3,5
09-spaceship-titanic-s47-learned_validity,spaceship-titanic,47,learned_validity,13299,61b48862532d048f5f04a517e3f89b211c59bd3d,e4f9dfcf409b62ea7d6d00e6e4b9189712029ee3,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,1,common_priority_v1,600,64,failed,0,0.064713012,0.064713012,True,0.8023,0.8022988505747126,11,c447ee151053ace9eb41ded6d2672a0544df78865525384c38e2a00ab35c07e1,509.15889504924417,2149468727991893,True,api_admission_budget_expired,True,0.8023,True,0.8023,c447ee151053ace9eb41ded6d2672a0544df78865525384c38e2a00ab35c07e1,7,7,7,13
10-spaceship-titanic-s47-uniform,spaceship-titanic,47,uniform,13299,61b48862532d048f5f04a517e3f89b211c59bd3d,e4f9dfcf409b62ea7d6d00e6e4b9189712029ee3,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,1,common_priority_v1,600,64,failed,0,0.062212449,0.062212449,True,0.8046,0.8045977011494253,10,ba924b59330f36b0315e5bbd2c3c232fb3f250ce875da8a52450db035a3115bb,506.6722900113091,2149984046199789,True,api_admission_budget_expired,True,0.8046,True,0.8046,ba924b59330f36b0315e5bbd2c3c232fb3f250ce875da8a52450db035a3115bb,7,7,7,13
11-spaceship-titanic-s47-short_code,spaceship-titanic,47,short_code,13299,61b48862532d048f5f04a517e3f89b211c59bd3d,e4f9dfcf409b62ea7d6d00e6e4b9189712029ee3,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,1,common_priority_v1,600,64,failed,0,0.057411471,0.057411471,True,0.8069,0.8068965517241379,10,f225984ec18de179d4f2bf72585e46a819b29f8f77c120e01a81c664e82a1c6f,466.10126659087837,2150499396408700,True,api_admission_budget_expired,True,0.8069,True,0.8069,f225984ec18de179d4f2bf72585e46a819b29f8f77c120e01a81c664e82a1c6f,6,6,6,11
