run_id,task,seed,arm,cutoff_seconds,valid,score,selected_step,whole_run_technical_eligible
00-leaf-classification-s32-uniform_random,leaf-classification,32,uniform_random,120,True,1.51485,2,True
00-leaf-classification-s32-uniform_random,leaf-classification,32,uniform_random,240,True,1.51485,2,True
00-leaf-classification-s32-uniform_random,leaf-classification,32,uniform_random,360,True,1.51485,2,True
00-leaf-classification-s32-uniform_random,leaf-classification,32,uniform_random,480,True,1.51485,2,True
00-leaf-classification-s32-uniform_random,leaf-classification,32,uniform_random,600,True,1.51485,2,True
01-leaf-classification-s32-critic_topk_random,leaf-classification,32,critic_topk_random,120,True,1.51485,2,True
01-leaf-classification-s32-critic_topk_random,leaf-classification,32,critic_topk_random,240,True,1.51485,2,True
01-leaf-classification-s32-critic_topk_random,leaf-classification,32,critic_topk_random,360,True,1.51485,2,True
01-leaf-classification-s32-critic_topk_random,leaf-classification,32,critic_topk_random,480,True,1.51485,2,True
01-leaf-classification-s32-critic_topk_random,leaf-classification,32,critic_topk_random,600,True,1.51485,2,True
02-spaceship-titanic-s32-critic_topk_random,spaceship-titanic,32,critic_topk_random,120,True,0.79655,2,True
02-spaceship-titanic-s32-critic_topk_random,spaceship-titanic,32,critic_topk_random,240,True,0.79655,6,True
02-spaceship-titanic-s32-critic_topk_random,spaceship-titanic,32,critic_topk_random,360,True,0.79655,6,True
02-spaceship-titanic-s32-critic_topk_random,spaceship-titanic,32,critic_topk_random,480,True,0.79655,10,True
02-spaceship-titanic-s32-critic_topk_random,spaceship-titanic,32,critic_topk_random,600,True,0.79655,10,True
03-spaceship-titanic-s32-uniform_random,spaceship-titanic,32,uniform_random,120,True,0.79655,2,True
03-spaceship-titanic-s32-uniform_random,spaceship-titanic,32,uniform_random,240,True,0.81149,8,True
03-spaceship-titanic-s32-uniform_random,spaceship-titanic,32,uniform_random,360,True,0.81149,8,True
03-spaceship-titanic-s32-uniform_random,spaceship-titanic,32,uniform_random,480,True,0.81149,12,True
03-spaceship-titanic-s32-uniform_random,spaceship-titanic,32,uniform_random,600,True,0.81149,12,True
04-leaf-classification-s33-critic_topk_random,leaf-classification,33,critic_topk_random,120,True,1.51485,2,True
04-leaf-classification-s33-critic_topk_random,leaf-classification,33,critic_topk_random,240,True,1.51485,2,True
04-leaf-classification-s33-critic_topk_random,leaf-classification,33,critic_topk_random,360,True,1.51485,2,True
04-leaf-classification-s33-critic_topk_random,leaf-classification,33,critic_topk_random,480,True,1.51485,2,True
04-leaf-classification-s33-critic_topk_random,leaf-classification,33,critic_topk_random,600,True,1.51485,2,True
05-leaf-classification-s33-uniform_random,leaf-classification,33,uniform_random,120,True,1.51485,2,True
05-leaf-classification-s33-uniform_random,leaf-classification,33,uniform_random,240,True,1.51485,2,True
05-leaf-classification-s33-uniform_random,leaf-classification,33,uniform_random,360,True,1.51485,2,True
05-leaf-classification-s33-uniform_random,leaf-classification,33,uniform_random,480,True,0.64273,5,True
05-leaf-classification-s33-uniform_random,leaf-classification,33,uniform_random,600,True,0.64273,5,True
06-spaceship-titanic-s33-uniform_random,spaceship-titanic,33,uniform_random,120,True,0.79655,2,True
06-spaceship-titanic-s33-uniform_random,spaceship-titanic,33,uniform_random,240,True,0.79655,6,True
06-spaceship-titanic-s33-uniform_random,spaceship-titanic,33,uniform_random,360,True,0.81724,9,True
06-spaceship-titanic-s33-uniform_random,spaceship-titanic,33,uniform_random,480,True,0.81724,13,True
06-spaceship-titanic-s33-uniform_random,spaceship-titanic,33,uniform_random,600,True,0.81724,13,True
07-spaceship-titanic-s33-critic_topk_random,spaceship-titanic,33,critic_topk_random,120,True,0.79655,2,True
07-spaceship-titanic-s33-critic_topk_random,spaceship-titanic,33,critic_topk_random,240,True,0.79655,6,True
07-spaceship-titanic-s33-critic_topk_random,spaceship-titanic,33,critic_topk_random,360,True,0.79655,10,True
07-spaceship-titanic-s33-critic_topk_random,spaceship-titanic,33,critic_topk_random,480,True,0.79655,10,True
07-spaceship-titanic-s33-critic_topk_random,spaceship-titanic,33,critic_topk_random,600,True,0.79655,10,True
