index,case,task,arm,seed,repair_success,status,score,cost_usd,generation_seconds,execution_wall_seconds,generated_code_sha256,target_code_sha256,memory_diff_sha256,job,source_tree,commit
0,0,leaf-classification,no_external_memory,2026091300,False,program_timeout,,0.002894775,16.496935154893436,315.78171215206385,dfe9388b6e9aefe8334e49208ff08ffded44f8c4c194f5d0b06108761b797761,a0d8b4b9b85b1e62431b988ef72127daffa8cd0b943d269fa7f5c96bca545ea0,,13258,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
1,0,leaf-classification,retrieved_repair,2026091300,False,program_timeout,,0.002932371,16.845819465001114,312.81957060517743,60f4afd3bc50b51bfda27dc16dad788e84bc653ca4648f39f912a5d6c80f5787,a0d8b4b9b85b1e62431b988ef72127daffa8cd0b943d269fa7f5c96bca545ea0,b1d618b895a83d6894b4b2b32d0fa6fdf1b23c52e90630996f9211e0b2e8afa6,13258,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
2,0,leaf-classification,random_repair,2026091300,False,program_timeout,,0.003291795,16.62415987602435,312.47675707098097,60f4afd3bc50b51bfda27dc16dad788e84bc653ca4648f39f912a5d6c80f5787,a0d8b4b9b85b1e62431b988ef72127daffa8cd0b943d269fa7f5c96bca545ea0,b1d618b895a83d6894b4b2b32d0fa6fdf1b23c52e90630996f9211e0b2e8afa6,13258,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
3,1,leaf-classification,retrieved_repair,2026091301,False,program_error,,0.00217971,8.246836220961995,98.07252296432853,570f2568dc36419373aa16372cd99a23d9d2653645608b376bf0ea2d982acd40,78838e587622dd63996f7115195834b44d3802c6442ffb71d5852b5b0ed4c110,b1d618b895a83d6894b4b2b32d0fa6fdf1b23c52e90630996f9211e0b2e8afa6,13258,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
4,1,leaf-classification,random_repair,2026091301,False,generation_format_or_syntax_failure,,0.001502748,7.662193687981926,,,78838e587622dd63996f7115195834b44d3802c6442ffb71d5852b5b0ed4c110,b1d618b895a83d6894b4b2b32d0fa6fdf1b23c52e90630996f9211e0b2e8afa6,,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
5,1,leaf-classification,no_external_memory,2026091301,False,program_error,,0.001423266,7.887534128967673,97.7672443781048,cfcafc58eb03579195302445cee0e93dac6f24023f5bf02b5b0642a65facf575,78838e587622dd63996f7115195834b44d3802c6442ffb71d5852b5b0ed4c110,,13258,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
6,2,leaf-classification,random_repair,2026091302,False,program_error,,0.002780778,21.244147176039405,9.67739550769329,f3b4dcb7be8bf037142723deb5e1e1adfb8fb5fec16f6ccf6d27c8aaeeb93008,15310019b0bacc0beb658f6f03e1903519be50e5425bd9f7f73d0f5143baab8b,b1d618b895a83d6894b4b2b32d0fa6fdf1b23c52e90630996f9211e0b2e8afa6,13258,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
7,2,leaf-classification,no_external_memory,2026091302,False,program_timeout,,0.00311727,18.966272932011634,309.252229785081,992de0b9a0a2651c68fa5d2d075e5d133d00012d743e17f757f3cdfa716aca2f,15310019b0bacc0beb658f6f03e1903519be50e5425bd9f7f73d0f5143baab8b,,13258,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
8,2,leaf-classification,retrieved_repair,2026091302,,infrastructure_error,,0.00226161,18.420198795967735,123.71112859807909,f3b4dcb7be8bf037142723deb5e1e1adfb8fb5fec16f6ccf6d27c8aaeeb93008,15310019b0bacc0beb658f6f03e1903519be50e5425bd9f7f73d0f5143baab8b,b1d618b895a83d6894b4b2b32d0fa6fdf1b23c52e90630996f9211e0b2e8afa6,13258,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
9,3,leaf-classification,no_external_memory,2026091303,,not_executed,,0.001986426,12.373210344929248,,54640d81f4fe9fe2e2ad1a198d3f740b4a9d3f8d85a8eeffbb1a1af91ae8f96d,418c63ba6e34374f38ccc03e0e0490e12c31c1f6ab80277f5ec87c69689626d9,,,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
10,3,leaf-classification,retrieved_repair,2026091303,,not_executed,,0.002069808,13.248955275979824,,54640d81f4fe9fe2e2ad1a198d3f740b4a9d3f8d85a8eeffbb1a1af91ae8f96d,418c63ba6e34374f38ccc03e0e0490e12c31c1f6ab80277f5ec87c69689626d9,b1d618b895a83d6894b4b2b32d0fa6fdf1b23c52e90630996f9211e0b2e8afa6,,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
11,3,leaf-classification,random_repair,2026091303,,not_executed,,0.002761395,13.32525908597745,,54640d81f4fe9fe2e2ad1a198d3f740b4a9d3f8d85a8eeffbb1a1af91ae8f96d,418c63ba6e34374f38ccc03e0e0490e12c31c1f6ab80277f5ec87c69689626d9,dda73117d08dbe2fe4355f9dc8cb6e0e239a1084bc7682b64a499e0f29777afb,,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
12,4,spaceship-titanic,retrieved_repair,2026091304,False,program_error,,0.003236025,16.298055352992378,11.02317197015509,e44c17e9bb4e168658af3cc1f70baa515c23b748ea6553c5599a922ecde93af9,8d7adb43b65ed1bf75e2d1f54f7bdccd911fa38bdb8381054123779e235e84ab,31d49b26882b3248c83364999f3c451bf6cd06a0d33911c854e7536c5079ab74,13257,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
13,4,spaceship-titanic,random_repair,2026091304,False,program_error,,0.003154515,18.97713929391466,9.96414968976751,34897cef4ebd3df8070861295da98bd33a8f27982eea2035c3fa2d2d8a1944d5,8d7adb43b65ed1bf75e2d1f54f7bdccd911fa38bdb8381054123779e235e84ab,b9b95dc4599fbc8eefc8ea0b9ca31be79578869d32dc4602e37e317232074fa5,13257,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
14,4,spaceship-titanic,no_external_memory,2026091304,False,generation_format_or_syntax_failure,,0.00273117,16.327273526927456,,,8d7adb43b65ed1bf75e2d1f54f7bdccd911fa38bdb8381054123779e235e84ab,,,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
