seed,endpoint_batch,reversed_input,endpoints,pairs,forward_calls,valid_tokens,padded_slots,max_abs_margin_difference,parameters_unchanged,pass
6,1,False,4,3,4,149,149,1.4901161193847656e-08,True,True
6,1,True,4,3,4,149,149,1.4901161193847656e-08,True,True
6,2,False,4,3,2,149,192,1.4901161193847656e-08,True,True
6,2,True,4,3,2,149,192,1.4901161193847656e-08,True,True
6,4,False,4,3,1,149,256,0.0,True,True
6,4,True,4,3,1,149,256,0.0,True,True
7,1,False,4,3,4,149,149,0.0,True,True
7,1,True,4,3,4,149,149,0.0,True,True
7,2,False,4,3,2,149,192,0.0,True,True
7,2,True,4,3,2,149,192,0.0,True,True
7,4,False,4,3,1,149,256,0.0,True,True
7,4,True,4,3,1,149,256,0.0,True,True
8,1,False,4,3,4,149,149,0.0,True,True
8,1,True,4,3,4,149,149,0.0,True,True
8,2,False,4,3,2,149,192,0.0,True,True
8,2,True,4,3,2,149,192,0.0,True,True
8,4,False,4,3,1,149,256,0.0,True,True
8,4,True,4,3,1,149,256,0.0,True,True
