name,world,arm,seed,tag,optimizer_updates,new_forwards,wall_seconds_not_throughput_benchmark,trajectory_sha256
w2-G_to_L-full,2,G_to_L,6,full,4,50,15.519485220313072,9dcb53bc5697d65abd6ba2e5006bbc67929339a98986813117b0e8752cb76ffd
w2-G_to_L-prefix2,2,G_to_L,6,prefix2,2,22,17.538155937567353,b90495c7703d125e7fa0508f61a533a5dabdd4963c55452be2ead0c5a8c4cc7b
w2-G_to_L-resume2,2,G_to_L,6,resume2,2,28,17.381424346007407,afaf99492cbe0fe59ef3ad8ab64410c06e91b5d92e0cdd9bcbfddaeb39066cfa
w2-G_to_L-prefix3,2,G_to_L,6,prefix3,3,38,15.389663668349385,b498b3a673963b1a15201598115c405720c09e35d2ebfc418ca254c637d92949
w2-G_to_L-resume3,2,G_to_L,6,resume3,1,12,15.417397587560117,5cc1b750a355b413fcb0960cded7cb69fc4de65bb4f621baa071dae112e406e4
w2-Ghash_to_L-full,2,Ghash_to_L,6,full,4,50,15.067532776854932,5f56d38ec10db863dd6697a3790e2c7251c770343bb45fe04697f56cceca9b39
w2-Ghash_to_L-prefix2,2,Ghash_to_L,6,prefix2,2,22,14.823335229419172,e0654713ca9f3541d7e04b2c1f33d84de17d16c41fd93ec744ba4d21bd3c21fa
w2-Ghash_to_L-resume2,2,Ghash_to_L,6,resume2,2,28,16.581270686350763,20911bacf47f8ccd458fe45007b6fd227932b20f5d47f2b86e496f0da1b8c9fb
w2-Ghash_to_L-prefix3,2,Ghash_to_L,6,prefix3,3,38,15.82807473745197,28cf064991fd187cad912b1fe201d104588a009c27b83311f3d0dc350b434cab
w2-Ghash_to_L-resume3,2,Ghash_to_L,6,resume3,1,12,14.880615236237645,e90a1af0b6b1ac1aed70a4cf174d63a45ea829f74bf15fc40228aaf10196b28e
w4-G_to_L-full,4,G_to_L,6,full,4,52,15.91698238067329,4a4af8f6dad7fd81d502143d8041da11f4b7f71f7ab4e080141f71ec5832cd0c
w4-G_to_L-prefix2,4,G_to_L,6,prefix2,2,24,15.994674460031092,529dc195b6bc64c7d373d87b2879e8dce34d77554c2709ef254dc08e00877da6
w4-G_to_L-resume2,4,G_to_L,6,resume2,2,28,16.129042078740895,83b8e2376825bc89addeb29dd0ae5fe9f062ebe0e97fd0da68c2db6abf0d924f
w4-G_to_L-prefix3,4,G_to_L,6,prefix3,3,40,15.333539550192654,0038c07e27af66c620c08282a8b2c7584f6f2782642d1f369d8001da30583166
w4-G_to_L-resume3,4,G_to_L,6,resume3,1,12,14.391375283710659,24b2dcc3dc18fb6d152e2b0846e3b5b4a6ccb8c7cdeb178fedd70f75e6ee711b
w4-Ghash_to_L-full,4,Ghash_to_L,6,full,4,52,16.28072344698012,d7ad88a1546d4192699af64534d898899c44a5b21cf4b825b82b76020851cc51
w4-Ghash_to_L-prefix2,4,Ghash_to_L,6,prefix2,2,24,16.96520970016718,93fe80a70e33ccb33d24c26bb6943623e6b8e44f9a8790e68bebea49f7a4b9c5
w4-Ghash_to_L-resume2,4,Ghash_to_L,6,resume2,2,28,16.651674268767238,3192c396cecdf4b6947677511e114c91929a947f63d97b842b019a3d26942ea9
w4-Ghash_to_L-prefix3,4,Ghash_to_L,6,prefix3,3,40,19.6537620164454,26998eed0ad5e0086055802505180d5a2153a24935b8dd3d4c6a17e9ddf20f86
w4-Ghash_to_L-resume3,4,Ghash_to_L,6,resume3,1,12,19.252514918334782,6e1ce334a4e0316a5a8330b7b90872dcdbf310fa4622192024fbe7a406a5a60e
