arm,seed,rank,completed_steps,source,global_update_pairs,local_pair_visits,local_valid_tokens,cumulative_global_valid_tokens,max_abs_gradient_error,max_abs_parameter_error,pass
L1,6,0,1,L,8,4,32,64,2.3096799850463867e-07,0.0,True
L1,6,0,2,L,5,3,24,104,5.960464477539062e-07,0.0,True
Lbudget,6,0,1,L,8,4,32,64,2.3096799850463867e-07,0.0,True
Lbudget,6,0,2,L,5,3,24,104,5.960464477539062e-07,0.0,True
Lbudget,6,0,3,L,8,4,32,168,2.384185791015625e-07,0.0,True
Lbudget,6,0,4,L,3,2,16,192,1.7881393432617188e-07,1.8189894035458565e-12,True
Gbudget,6,0,1,G,8,4,32,64,1.7881393432617188e-07,0.0,True
Gbudget,6,0,2,G,3,2,16,88,7.152557373046875e-07,0.0,True
Gbudget,6,0,3,G,8,4,32,152,1.1920928955078125e-07,0.0,True
Gbudget,6,0,4,G,3,2,16,176,4.76837158203125e-07,0.0,True
Gbudget,6,0,5,G,2,1,8,192,9.5367431640625e-07,0.0,True
G_to_L,6,0,1,G,8,4,32,64,1.7881393432617188e-07,0.0,True
G_to_L,6,0,2,G,3,2,16,88,7.152557373046875e-07,0.0,True
G_to_L,6,0,3,L,8,4,32,152,1.4901161193847656e-07,0.0,True
G_to_L,6,0,4,L,5,3,24,192,7.152557373046875e-07,0.0,True
Ghash_to_L,6,0,1,G,8,4,32,64,2.384185791015625e-07,0.0,True
Ghash_to_L,6,0,2,G,3,2,16,88,7.450580596923828e-08,0.0,True
Ghash_to_L,6,0,3,L,8,4,32,152,1.601874828338623e-07,0.0,True
Ghash_to_L,6,0,4,L,5,3,24,192,9.5367431640625e-07,0.0,True
L1,6,1,1,L,8,4,32,64,2.3096799850463867e-07,0.0,True
L1,6,1,2,L,5,2,16,104,5.960464477539062e-07,0.0,True
Lbudget,6,1,1,L,8,4,32,64,2.3096799850463867e-07,0.0,True
Lbudget,6,1,2,L,5,2,16,104,5.960464477539062e-07,0.0,True
Lbudget,6,1,3,L,8,4,32,168,2.384185791015625e-07,0.0,True
Lbudget,6,1,4,L,3,1,8,192,1.7881393432617188e-07,1.8189894035458565e-12,True
Gbudget,6,1,1,G,8,4,32,64,1.7881393432617188e-07,0.0,True
Gbudget,6,1,2,G,3,1,8,88,7.152557373046875e-07,0.0,True
Gbudget,6,1,3,G,8,4,32,152,1.1920928955078125e-07,0.0,True
Gbudget,6,1,4,G,3,1,8,176,4.76837158203125e-07,0.0,True
Gbudget,6,1,5,G,2,1,8,192,9.5367431640625e-07,0.0,True
G_to_L,6,1,1,G,8,4,32,64,1.7881393432617188e-07,0.0,True
G_to_L,6,1,2,G,3,1,8,88,7.152557373046875e-07,0.0,True
G_to_L,6,1,3,L,8,4,32,152,1.4901161193847656e-07,0.0,True
G_to_L,6,1,4,L,5,2,16,192,7.152557373046875e-07,0.0,True
Ghash_to_L,6,1,1,G,8,4,32,64,2.384185791015625e-07,0.0,True
Ghash_to_L,6,1,2,G,3,1,8,88,7.450580596923828e-08,0.0,True
Ghash_to_L,6,1,3,L,8,4,32,152,1.601874828338623e-07,0.0,True
Ghash_to_L,6,1,4,L,5,2,16,192,9.5367431640625e-07,0.0,True
