case,arm,seed,resume,final_step,new_optimizer_updates,new_microbatches_observed,consumption_verified,plan_sha256
"consume-G_to_L-6","G_to_L",6,false,4,4,8,true,"80f754dc1a4c54b252116e9a207c8fe3653cc35a1cd0e3a1b9feecdc4ae70fe8"
"consume-Ghash_to_L-6","Ghash_to_L",6,false,4,4,8,true,"3969ee09d444ce5933115b907652e7130370479b30fd9827da21785a352e434a"
"consume-G_to_L-7","G_to_L",7,false,4,4,8,true,"b78ad991193a841532acb3a187be0bb6ade89ddf7fa22b47d3a3ace07c606ec4"
"consume-Ghash_to_L-7","Ghash_to_L",7,false,4,4,8,true,"bf76a2df5b60ef2359119599c432e19c6ce34a977ce50108c2c2220cf068d087"
"consume-G_to_L-8","G_to_L",8,false,4,4,8,true,"947a02aedf9bb5452489c86c1323cf99a48f90309f30d0a6af7081d4f41b3cf2"
"consume-Ghash_to_L-8","Ghash_to_L",8,false,4,4,8,true,"e2b477a5d2536135d7dd7a43db7aafb0c6d9e032fc4c23a97316b4e2bca711ed"
"L1","L1",6,false,2,2,4,true,"6c8d26ff7a4922ba9931ba5de7672bbe8e6edbdbd4c64654cd343466ae68399f"
"Lbudget","Lbudget",6,false,4,4,8,true,"5fc5a9e4e791114325f695758744c216dea8904295b838331de7cf65a4173f12"
"Gbudget","Gbudget",6,false,4,4,8,true,"833067b9137ceb2f4095395f79cd11b8d798bf4774def0406b6c8ce26643c2c1"
"resume-full-G_to_L","G_to_L",6,false,4,4,8,true,"80f754dc1a4c54b252116e9a207c8fe3653cc35a1cd0e3a1b9feecdc4ae70fe8"
"interrupted-G_to_L-1","G_to_L",6,false,1,1,2,true,"80f754dc1a4c54b252116e9a207c8fe3653cc35a1cd0e3a1b9feecdc4ae70fe8"
"resumed-G_to_L-1","G_to_L",6,true,4,3,6,true,"80f754dc1a4c54b252116e9a207c8fe3653cc35a1cd0e3a1b9feecdc4ae70fe8"
"interrupted-G_to_L-2","G_to_L",6,false,2,2,4,true,"80f754dc1a4c54b252116e9a207c8fe3653cc35a1cd0e3a1b9feecdc4ae70fe8"
"resumed-G_to_L-2","G_to_L",6,true,4,2,4,true,"80f754dc1a4c54b252116e9a207c8fe3653cc35a1cd0e3a1b9feecdc4ae70fe8"
"interrupted-G_to_L-3","G_to_L",6,false,3,3,6,true,"80f754dc1a4c54b252116e9a207c8fe3653cc35a1cd0e3a1b9feecdc4ae70fe8"
"resumed-G_to_L-3","G_to_L",6,true,4,1,2,true,"80f754dc1a4c54b252116e9a207c8fe3653cc35a1cd0e3a1b9feecdc4ae70fe8"
"resume-full-Ghash_to_L","Ghash_to_L",6,false,4,4,8,true,"3969ee09d444ce5933115b907652e7130370479b30fd9827da21785a352e434a"
"interrupted-Ghash_to_L-1","Ghash_to_L",6,false,1,1,2,true,"3969ee09d444ce5933115b907652e7130370479b30fd9827da21785a352e434a"
"resumed-Ghash_to_L-1","Ghash_to_L",6,true,4,3,6,true,"3969ee09d444ce5933115b907652e7130370479b30fd9827da21785a352e434a"
"interrupted-Ghash_to_L-2","Ghash_to_L",6,false,2,2,4,true,"3969ee09d444ce5933115b907652e7130370479b30fd9827da21785a352e434a"
"resumed-Ghash_to_L-2","Ghash_to_L",6,true,4,2,4,true,"3969ee09d444ce5933115b907652e7130370479b30fd9827da21785a352e434a"
"interrupted-Ghash_to_L-3","Ghash_to_L",6,false,3,3,6,true,"3969ee09d444ce5933115b907652e7130370479b30fd9827da21785a352e434a"
"resumed-Ghash_to_L-3","Ghash_to_L",6,true,4,1,2,true,"3969ee09d444ce5933115b907652e7130370479b30fd9827da21785a352e434a"
"gradient-accumulation","G_to_L",6,false,4,4,8,true,"80f754dc1a4c54b252116e9a207c8fe3653cc35a1cd0e3a1b9feecdc4ae70fe8"
"rng-sensitivity-python","G_to_L",6,true,4,2,4,true,"80f754dc1a4c54b252116e9a207c8fe3653cc35a1cd0e3a1b9feecdc4ae70fe8"
"rng-sensitivity-numpy","G_to_L",6,true,4,2,4,true,"80f754dc1a4c54b252116e9a207c8fe3653cc35a1cd0e3a1b9feecdc4ae70fe8"
"rng-sensitivity-torch","G_to_L",6,true,4,2,4,true,"80f754dc1a4c54b252116e9a207c8fe3653cc35a1cd0e3a1b9feecdc4ae70fe8"
