session,poll,elapsed_seconds,returncode,physical_runs,eligible_runs,structural_pairs,eligible_tasks,new_eligible_runs,latest_sha256,GPU_hours,model_effect_fit
0,0,155.13926702272147,0,651,625,3922,51,2,72d334412d32b126cdcbe68c67de469ecde9b65bbf4f04f5e8d95f27ccea05eb,0,False
0,1,120.67558070737869,0,653,627,3926,52,2,0a283e84ea33f5b487494da4107b2d70af8cf33eaf1591006c2c28eed9f3881b,0,False
0,2,123.61107845138758,0,658,632,3944,53,5,1d5dcfe96a91984f28c785b28cd20259cbd9d7409aa82f5b722eb46dff3dced4,0,False
0,3,133.69821962993592,0,662,636,3973,54,4,e6a16a1ea829ef3e048285b830dc5e4ccff8e3acc669a351fdef061f9a35414e,0,False
0,4,122.5765447486192,0,666,640,3985,54,4,d48e129bdb796b6882d0cd7d34dcd3796b0404446f42397c6b11cb5067a53125,0,False
0,5,121.29720769822598,0,670,644,4002,54,4,fc8b894d9e6a74746a94832dc0030bd7ac24fd03abb02a7ed830509d4a047406,0,False
0,6,151.55083969328552,0,674,648,4081,55,4,db4ba10d1441d4305666cbb67fd2f2dd31a9c79aab2c7720055e985a9b1bcfd9,0,False
1,0,146.27079554088414,0,679,653,4199,56,5,462cc9a107d2cc518e87a586a7f613b448988aa4c53360933e912d83a1b0d23f,0,False
1,1,134.5963841928169,0,683,657,4211,56,4,3ccbda5479a6bfce3872167fbca2e77f531bc9010f1b83cc95a1af58a455162d,0,False
1,2,102.3476829957217,0,686,660,4218,56,3,17e3831ca97f2ba58217f044df30468b5455f92dd26f15febd65d8e820ecec54,0,False
1,3,114.59104390721768,0,690,664,4234,56,4,0e8dd9f1e692caf6cf5422d202c2fa12c9140160a26364ee66ab6cfadfd5f64d,0,False
1,4,132.84704017918557,0,694,668,4259,56,4,ef7d0470f5bc8ddce881800432b673b2bef53d253435634dd6d0280fa27eccc2,0,False
1,5,121.31479336880147,0,696,670,4265,56,2,ca8fd7a9b2a5460c5eab48f5cb08b30a1094d14a0043427ee1d66fe768a13f5b,0,False
1,6,103.2624963382259,0,699,673,4275,57,3,cdae57a622cfa8e83b40e93f60dbd90045b4670c4e9050bf552ef689745a25f2,0,False
1,7,19.41250384505838,0,699,673,4275,57,0,cdae57a622cfa8e83b40e93f60dbd90045b4670c4e9050bf552ef689745a25f2,0,False
