arm,task,sibling_accuracy,uniform_accuracy,gap_transport_accuracy,total_pairing_inflation,gap_composition_component,topology_residual
fixed_frozen_global,chaii-hindi-and-tamil-question-answering,0.49586776859504134,0.5259341567021057,0.49151411110787396,0.030066388107064412,0.034420045594231785,-0.004353657487167373
fixed_frozen_global,denoising-dirty-documents,0.5291005291005291,0.47775973077328876,0.4269374157735949,-0.05134079832724031,0.05082231499969386,-0.10216311332693417
fixed_frozen_global,dog-breed-identification,0.4117647058823529,0.609221446372314,0.5708372830872915,0.1974567404899611,0.03838416328502248,0.15907257720493861
fixed_frozen_global,google-quest-challenge,0.375,0.6724174528301887,0.5515885156331752,0.2974174528301887,0.12082893719701349,0.17658851563317524
fixed_frozen_global,histopathologic-cancer-detection,0.5483870967741935,0.2953784326858674,0.4278297789831185,-0.2530086640883261,-0.13245134629725114,-0.12055731779107498
fixed_frozen_global,leaf-classification,0.44668587896253603,0.49643903738242284,0.502312472230465,0.04975315841988681,-0.005873434848042203,0.055626593267929014
fixed_frozen_global,learning-agency-lab-automated-essay-scoring-2,0.7083333333333334,0.797633817795108,0.7479625955320399,0.08930048446177463,0.04967122226306808,0.03962926219870655
fixed_frozen_global,mlsp-2013-birds,0.49206349206349204,0.5968892530495393,0.5675668389316413,0.10482576098604729,0.029322414117898044,0.07550334686814925
fixed_frozen_global,nomad2018-predict-transparent-conductors,0.4393063583815029,0.5998095496540949,0.5414931271012917,0.16050319127259205,0.058316422552803227,0.10218676871978882
fixed_frozen_global,petfinder-pawpularity-score,0.4752252252252252,0.34263913285887354,0.5326404748486419,-0.13258609236635166,-0.1900013419897683,0.05741524962341665
fixed_frozen_global,random-acts-of-pizza,0.5272331154684096,0.42290173588222224,0.5502167067717005,-0.10433137958618732,-0.1273149708894783,0.022983591303290973
fixed_frozen_global,spaceship-titanic,0.7051282051282052,0.3010780972422364,0.24578290127448063,-0.4040501078859688,0.055295195967755756,-0.4593453038537245
fixed_frozen_global,spooky-author-identification,0.5200892857142857,0.5320886405522849,0.5596084359287159,0.011999354837999188,-0.02751979537643101,0.0395191502144302
fixed_frozen_global,tabular-playground-series-dec-2021,0.7894736842105263,0.4463257199602781,0.4777253730988875,-0.34314796425024824,-0.03139965313860943,-0.3117483111116388
fixed_frozen_global,tabular-playground-series-may-2022,0.5826086956521739,0.6787904857313763,0.6207522315367049,0.09618179007920247,0.05803825419467146,0.03814353588453101
fixed_frozen_global,text-normalization-challenge-english-language,0.5294117647058824,0.5232974910394266,0.5678374566394083,-0.006114273666455783,-0.044539965599981746,0.03842569193352596
fixed_frozen_global,text-normalization-challenge-russian-language,0.5789473684210527,0.5155775024196076,0.5249434792647382,-0.06336986600144501,-0.00936597684513052,-0.05400388915631449
fixed_frozen_global,tweet-sentiment-extraction,0.2857142857142857,0.2361111111111111,0.16071428571428573,-0.049603174603174593,0.07539682539682538,-0.12499999999999997
fixed_frozen_global,us-patent-phrase-to-phrase-matching,0.5132450331125827,0.7820496043863865,0.4761352231336477,0.26880457127380375,0.3059143812527388,-0.03710980997893504
fixed_frozen_global,whale-categorization-playground,0.4406779661016949,0.5771156972956504,0.532700274291805,0.13643773119395547,0.04441542300384538,0.09202230819011009
op_only_lr,chaii-hindi-and-tamil-question-answering,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,denoising-dirty-documents,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,dog-breed-identification,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,google-quest-challenge,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,histopathologic-cancer-detection,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,leaf-classification,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,learning-agency-lab-automated-essay-scoring-2,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,mlsp-2013-birds,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,nomad2018-predict-transparent-conductors,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,petfinder-pawpularity-score,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,random-acts-of-pizza,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,spaceship-titanic,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,spooky-author-identification,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,tabular-playground-series-dec-2021,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,tabular-playground-series-may-2022,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,text-normalization-challenge-english-language,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,text-normalization-challenge-russian-language,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,tweet-sentiment-extraction,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,us-patent-phrase-to-phrase-matching,0.5,0.5,0.5,0.0,0.0,0.0
op_only_lr,whale-categorization-playground,0.5,0.5,0.5,0.0,0.0,0.0
static_lr,chaii-hindi-and-tamil-question-answering,0.5206611570247934,0.47663233382472214,0.5022932016324563,-0.04402882320007129,-0.025660867807734133,-0.018367955392337154
static_lr,denoising-dirty-documents,0.5185185185185185,0.5706268816116811,0.5641641111109935,0.05210836309316258,0.0064627705006875535,0.045645592592475026
static_lr,dog-breed-identification,0.47058823529411764,0.5835860723186158,0.5374709209319783,0.11299783702449817,0.046115151386637465,0.0668826856378607
static_lr,google-quest-challenge,0.45,0.6486705291222312,0.607256255088417,0.1986705291222312,0.04141427403381426,0.15725625508841695
static_lr,histopathologic-cancer-detection,0.45161290322580644,0.3523107836570663,0.45224052868469344,-0.09930211956874013,-0.09992974502762714,0.0006276254588870045
static_lr,leaf-classification,0.5446685878962536,0.4655508525912215,0.497580130068146,-0.07911773530503213,-0.03202927747692452,-0.04708845782810761
static_lr,learning-agency-lab-automated-essay-scoring-2,0.5416666666666666,0.7107248710071291,0.6870518755935423,0.16905820434046248,0.023672995413586806,0.14538520892687568
static_lr,mlsp-2013-birds,0.4523809523809524,0.568784220648911,0.5476259413791981,0.1164032682679586,0.02115827926971292,0.09524498899824568
static_lr,nomad2018-predict-transparent-conductors,0.5202312138728323,0.4332395769672482,0.46212215066699347,-0.08699163690558415,-0.028882573699745284,-0.05810906320583886
static_lr,petfinder-pawpularity-score,0.48423423423423423,0.613701015976542,0.5136277761675319,0.1294667817423078,0.10007323980901017,0.02939354193329763
static_lr,random-acts-of-pizza,0.46187363834422657,0.3888171398498871,0.4887429560416353,-0.07305649849433948,-0.09992581619174823,0.026869317697408746
static_lr,spaceship-titanic,0.4358974358974359,0.44570414655717955,0.3707080706352283,0.009806710659743645,0.07499607592195123,-0.06518936526220759
static_lr,spooky-author-identification,0.5524553571428571,0.560927222315853,0.5134698061597323,0.008471865172995918,0.04745741615612076,-0.03898555098312484
static_lr,tabular-playground-series-dec-2021,0.6842105263157895,0.5014647467725919,0.5054784161320663,-0.1827457795431976,-0.004013669359474448,-0.17873211018372315
static_lr,tabular-playground-series-may-2022,0.591304347826087,0.6308992778855651,0.5611043896142465,0.03959493005947812,0.06979488827131863,-0.030199958211840516
static_lr,text-normalization-challenge-english-language,0.8235294117647058,0.6308243727598566,0.5701641420686656,-0.19270503900484925,0.060660230691190975,-0.25336526969604023
static_lr,text-normalization-challenge-russian-language,0.7894736842105263,0.680870786133944,0.6297513897142069,-0.1086028980765823,0.05111939641973717,-0.15972229449631947
static_lr,tweet-sentiment-extraction,0.5714285714285714,0.0,0.0,-0.5714285714285714,0.0,-0.5714285714285714
static_lr,us-patent-phrase-to-phrase-matching,0.5066225165562914,0.23935528664988348,0.5062684789631705,-0.26726722990640794,-0.26691319231328703,-0.000354037593120915
static_lr,whale-categorization-playground,0.4067796610169492,0.42775517344679576,0.4466098815795426,0.020975512429846577,-0.018854708132746867,0.039830220562593444
char_tfidf_lr,chaii-hindi-and-tamil-question-answering,0.4738292011019284,0.5467678765793968,0.5239634608144911,0.07293867547746846,0.022804415764905772,0.05013425971256269
char_tfidf_lr,denoising-dirty-documents,0.5291005291005291,0.4737068008518025,0.45105081798185276,-0.05539372824872657,0.022655982869949742,-0.07804971111867631
