family,q,selected,coverage,candidate_saving_fraction,micro_accuracy,task_macro_accuracy,tasks
char_margin,0.05,65,0.04276315789473684,0.02138157894736842,0.5538461538461539,0.5578703703703703,18
char_margin,0.1,140,0.09210526315789473,0.046052631578947366,0.5357142857142857,0.5745162665617211,22
char_margin,0.2,295,0.19407894736842105,0.09703947368421052,0.5288135593220339,0.5004473081934744,23
char_margin,0.4,599,0.39407894736842103,0.19703947368421051,0.5425709515859767,0.5606840933747409,23
char_margin,0.6,902,0.593421052631579,0.2967105263157895,0.5388026607538803,0.5682084892933612,23
char_margin,0.8,1206,0.7934210526315789,0.39671052631578946,0.5281923714759535,0.5601983928710392,23
char_margin,1.0,1520,1.0,0.5,0.5302631578947369,0.567743224252698,23
tri_unanimous,0.05,65,0.04276315789473684,0.02138157894736842,0.6461538461538462,0.6388888888888888,18
tri_unanimous,0.1,140,0.09210526315789473,0.046052631578947366,0.5785714285714286,0.5844860947133674,22
tri_unanimous,0.2,293,0.19276315789473683,0.09638157894736842,0.5494880546075085,0.5575913930507589,22
tri_unanimous,0.4,456,0.3,0.15,0.5570175438596491,0.575769515495742,22
tri_unanimous,0.6,459,0.30197368421052634,0.15098684210526317,0.5599128540305011,0.5792998784134566,22
tri_unanimous,0.8,459,0.30197368421052634,0.15098684210526317,0.5599128540305011,0.5792998784134566,22
tri_unanimous,1.0,459,0.30197368421052634,0.15098684210526317,0.5599128540305011,0.5792998784134566,22
