stratum_type,stratum,parents,runs,source_pair_capacity,source_identity_available_parents,published_direct_relations,status_direct_relations,execution_only_direct_relations,published_transitive_relations,status_transitive_relations,execution_only_transitive_relations,published_winners,status_winners,execution_only_winners,newly_identified_by_status,newly_identified_execution_only,published_winner_rate,status_winner_rate,execution_only_winner_rate,status_winner_rate_gain,execution_only_winner_rate_gain,status_unanswered_gap_recovery,execution_only_unanswered_gap_recovery,published_relation_coverage,status_direct_relation_coverage,status_transitive_relation_coverage,execution_only_transitive_relation_coverage
task,aptos2019-blindness-detection,64,4,64,64,64,64,64,64,64,64,64,64,64,0,0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0
task,chaii-hindi-and-tamil-question-answering,141,15,685,132,416,614,614,416,614,614,67,132,132,65,65,0.475177304964539,0.9361702127659575,0.9361702127659575,0.46099290780141844,0.46099290780141844,0.8783783783783784,0.8783783783783784,0.6072992700729927,0.8963503649635036,0.8963503649635036,0.8963503649635036
task,denoising-dirty-documents,102,25,282,100,210,264,264,210,264,264,88,100,100,12,12,0.8627450980392157,0.9803921568627451,0.9803921568627451,0.11764705882352941,0.11764705882352941,0.8571428571428571,0.8571428571428571,0.7446808510638298,0.9361702127659575,0.9361702127659575,0.9361702127659575
task,dog-breed-identification,84,18,184,80,127,155,155,127,155,155,74,80,80,6,6,0.8809523809523809,0.9523809523809523,0.9523809523809523,0.07142857142857142,0.07142857142857142,0.6,0.6,0.6902173913043478,0.842391304347826,0.842391304347826,0.842391304347826
task,dogs-vs-cats-redux-kernels-edition,16,4,16,16,16,16,16,16,16,16,16,16,16,0,0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0
task,google-quest-challenge,58,15,58,58,58,58,58,58,58,58,58,58,58,0,0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0
task,histopathologic-cancer-detection,70,11,70,70,70,70,70,70,70,70,70,70,70,0,0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0
task,kuzushiji-recognition,14,5,14,14,14,14,14,14,14,14,14,14,14,0,0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0
task,leaf-classification,255,31,922,239,576,812,808,576,812,808,135,236,234,101,99,0.5294117647058824,0.9254901960784314,0.9176470588235294,0.396078431372549,0.38823529411764707,0.8416666666666667,0.825,0.6247288503253796,0.8806941431670282,0.8806941431670282,0.8763557483731019
task,learning-agency-lab-automated-essay-scoring-2,37,16,97,31,61,65,65,61,65,65,19,21,21,2,2,0.5135135135135135,0.5675675675675675,0.5675675675675675,0.05405405405405406,0.05405405405405406,0.1111111111111111,0.1111111111111111,0.6288659793814433,0.6701030927835051,0.6701030927835051,0.6701030927835051
task,mlsp-2013-birds,116,26,1034,112,342,700,694,342,700,694,11,81,79,70,68,0.09482758620689655,0.6982758620689655,0.6810344827586207,0.603448275862069,0.5862068965517241,0.6666666666666666,0.6476190476190476,0.3307543520309478,0.6769825918762089,0.6769825918762089,0.6711798839458414
task,nomad2018-predict-transparent-conductors,81,21,549,80,221,451,451,221,451,451,34,74,74,40,40,0.41975308641975306,0.9135802469135802,0.9135802469135802,0.49382716049382713,0.49382716049382713,0.851063829787234,0.851063829787234,0.40255009107468126,0.8214936247723132,0.8214936247723132,0.8214936247723132
task,petfinder-pawpularity-score,255,42,784,241,512,686,686,512,686,686,161,233,233,72,72,0.6313725490196078,0.9137254901960784,0.9137254901960784,0.2823529411764706,0.2823529411764706,0.7659574468085106,0.7659574468085106,0.6530612244897959,0.875,0.875,0.875
task,random-acts-of-pizza,327,31,805,307,553,681,677,553,681,677,255,307,305,52,50,0.7798165137614679,0.9388379204892966,0.9327217125382263,0.15902140672782875,0.1529051987767584,0.7222222222222222,0.6944444444444444,0.6869565217391305,0.8459627329192546,0.8459627329192546,0.8409937888198757
task,spaceship-titanic,26,16,477,11,87,169,169,87,169,169,1,11,11,10,10,0.038461538461538464,0.4230769230769231,0.4230769230769231,0.38461538461538464,0.38461538461538464,0.4,0.4,0.18238993710691823,0.35429769392033544,0.35429769392033544,0.35429769392033544
task,spooky-author-identification,670,40,2132,646,1510,1900,1898,1510,1900,1898,418,602,601,184,183,0.6238805970149254,0.8985074626865671,0.8970149253731343,0.2746268656716418,0.27313432835820894,0.7301587301587301,0.7261904761904762,0.7082551594746717,0.8911819887429644,0.8911819887429644,0.8902439024390244
task,tabular-playground-series-dec-2021,29,21,78,25,33,49,49,33,49,49,17,25,25,8,8,0.5862068965517241,0.8620689655172413,0.8620689655172413,0.27586206896551724,0.27586206896551724,0.6666666666666666,0.6666666666666666,0.4230769230769231,0.6282051282051282,0.6282051282051282,0.6282051282051282
task,tabular-playground-series-may-2022,90,49,673,61,208,385,382,208,385,382,27,61,60,34,33,0.3,0.6777777777777778,0.6666666666666666,0.37777777777777777,0.36666666666666664,0.5396825396825397,0.5238095238095238,0.30906389301634474,0.5720653789004457,0.5720653789004457,0.5676077265973254
task,text-normalization-challenge-english-language,26,4,26,26,26,26,26,26,26,26,26,26,26,0,0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0
task,text-normalization-challenge-russian-language,117,12,117,117,117,117,117,117,117,117,117,117,117,0,0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0
task,tweet-sentiment-extraction,74,6,79,74,74,78,78,74,78,78,73,74,74,1,1,0.9864864864864865,1.0,1.0,0.013513513513513514,0.013513513513513514,1.0,1.0,0.9367088607594937,0.9873417721518988,0.9873417721518988,0.9873417721518988
task,us-patent-phrase-to-phrase-matching,357,13,357,357,357,357,357,357,357,357,357,357,357,0,0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0
task,whale-categorization-playground,243,15,252,242,245,245,245,245,245,245,242,242,242,0,0,0.9958847736625515,0.9958847736625515,0.9958847736625515,0.0,0.0,0.0,0.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222
