task,train_parents,frozen_parents,extension_parents,eligible_primary,train_finite_source_retention,frozen_finite_source_retention,extension_finite_source_retention,train_raw_source_retention,frozen_raw_source_retention,extension_raw_source_retention,train_parent_present_share,frozen_parent_present_share,extension_parent_present_share
aptos2019-blindness-detection,34,19,11,True,1.0,1.0,1.0,1.0,1.0,1.0,0.9705882352941176,0.9473684210526315,1.0
chaii-hindi-and-tamil-question-answering,119,22,0,True,0.8207282913165269,0.7954545454545454,,0.8207282913165269,0.7954545454545454,,0.907563025210084,0.9090909090909091,
denoising-dirty-documents,86,16,0,True,0.953488372093023,1.0,,0.953488372093023,1.0,,0.9418604651162791,0.875,
dog-breed-identification,56,28,0,True,0.9619047619047619,0.9380952380952381,,0.9619047619047619,0.9380952380952381,,0.9107142857142857,0.9285714285714286,
dogs-vs-cats-redux-kernels-edition,11,0,5,False,1.0,,1.0,1.0,,1.0,0.8181818181818182,,1.0
google-quest-challenge,45,13,0,False,1.0,1.0,,1.0,1.0,,1.0,1.0,
histopathologic-cancer-detection,46,19,5,True,1.0,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.9473684210526315,1.0
kuzushiji-recognition,9,5,0,False,1.0,1.0,,1.0,1.0,,1.0,1.0,
leaf-classification,147,88,20,True,0.8383219954648529,0.8386363636363634,0.8333333333333333,0.8383219954648529,0.8386363636363634,0.8333333333333333,0.9047619047619048,0.9659090909090909,0.95
learning-agency-lab-automated-essay-scoring-2,28,6,3,False,0.8452380952380955,0.7222222222222222,1.0,0.8452380952380955,0.7222222222222222,1.0,0.7857142857142857,0.5,0.6666666666666666
mlsp-2013-birds,86,30,0,True,0.585271317829457,0.6444444444444444,,0.585271317829457,0.6444444444444444,,0.9651162790697675,0.9666666666666667,
nomad2018-predict-transparent-conductors,57,24,0,True,0.6631578947368421,0.9833333333333334,,0.6631578947368421,0.9833333333333334,,0.9824561403508771,1.0,
petfinder-pawpularity-score,212,43,0,True,0.8814465408805023,0.8015503875968994,,0.8814465408805023,0.8015503875968994,,0.9339622641509434,0.8837209302325582,
random-acts-of-pizza,261,8,58,False,0.9098339719029368,0.7,0.9942528735632185,0.9098339719029368,0.7,0.9942528735632185,0.9157088122605364,0.5,0.9655172413793104
spaceship-titanic,25,1,0,False,0.49967099567099565,0.4,,0.49967099567099565,0.4,,0.44,0.0,
spooky-author-identification,419,251,0,True,0.8625298329355617,0.9252324037184588,,0.8625298329355617,0.9252324037184588,,0.9451073985680191,0.9840637450199203,
tabular-playground-series-dec-2021,25,4,0,False,0.8213333333333332,0.9166666666666666,,0.8213333333333332,0.9166666666666666,,0.84,0.75,
tabular-playground-series-may-2022,64,23,3,True,0.6643229166666665,0.6376811594202898,1.0,0.6643229166666665,0.6376811594202898,1.0,0.625,0.6956521739130435,1.0
text-normalization-challenge-english-language,17,9,0,False,1.0,1.0,,1.0,1.0,,0.9411764705882353,1.0,
text-normalization-challenge-russian-language,96,15,6,True,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666,1.0,1.0
tweet-sentiment-extraction,40,34,0,True,1.0,0.9852941176470589,,1.0,0.9852941176470589,,0.975,1.0,
us-patent-phrase-to-phrase-matching,336,20,1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
whale-categorization-playground,74,167,2,True,0.9945945945945945,1.0,1.0,0.9945945945945945,1.0,1.0,0.9459459459459459,0.9880239520958084,0.5
