split,subset,task,pair_unweighted_accuracy,pair_gap_weighted_accuracy,component_gain_capture,component_top1_accuracy,component_normalized_regret
dev,merged,aptos2019-blindness-detection,0.0,0.0,-0.9999999999999968,0.0,1.9999999999999967
dev,merged,chaii-hindi-and-tamil-question-answering,1.0,1.0,1.0,1.0,0.0
dev,merged,denoising-dirty-documents,0.47368421052631576,0.6494800112166397,0.3875355772602144,0.46153846153846156,0.6124644227397854
dev,merged,dog-breed-identification,0.5652173913043478,0.4549108156535991,0.46715072188058887,0.6521739130434783,0.5328492781194112
dev,merged,dogs-vs-cats-redux-kernels-edition,0.4166666666666667,0.9358310645921204,0.8875691990683974,0.3,0.11243080093160267
dev,merged,google-quest-challenge,0.5789473684210527,0.4652675496157395,-0.14008501984267072,0.5294117647058824,1.1400850198426706
dev,merged,histopathologic-cancer-detection,0.6666666666666666,0.8341457317835268,0.6682914635670546,0.6666666666666666,0.3317085364329454
dev,merged,kuzushiji-recognition,0.25,0.19683958923512748,-0.7073411501464281,0.0,1.7073411501464282
dev,merged,leaf-classification,0.4444444444444444,0.28123836960037313,-0.4392367665256321,0.3333333333333333,1.439236766525632
dev,merged,learning-agency-lab-automated-essay-scoring-2,0.7804878048780488,0.7847071848752574,0.23089841970323655,0.5833333333333334,0.7691015802967635
dev,merged,mlsp-2013-birds,0.45161290322580644,0.5039616563291605,-0.15318177305668665,0.25,1.1531817730566867
dev,merged,new-york-city-taxi-fare-prediction,0.6666666666666666,0.8920409524862202,0.3270655276567533,0.25,0.6729344723432468
dev,merged,nomad2018-predict-transparent-conductors,0.4166666666666667,0.6557011728753889,0.90852048377122,0.0,0.09147951622878019
dev,merged,petfinder-pawpularity-score,0.6129032258064516,0.6738259006971421,0.15710503700828746,0.3,0.8428949629917125
dev,merged,random-acts-of-pizza,0.5,0.4522959515515921,-0.21139370295345944,0.375,1.2113937029534594
dev,merged,ranzcr-clip-catheter-line-classification,0.5909090909090909,0.6598992993204464,-0.08576564830454013,0.25,1.0857656483045401
dev,merged,spooky-author-identification,0.8055555555555556,0.9344729890118306,0.8727564838191416,0.7692307692307693,0.12724351618085844
dev,merged,tabular-playground-series-dec-2021,0.7619047619047619,0.7454811562385659,0.37242354953858214,0.8333333333333334,0.6275764504614179
dev,merged,tabular-playground-series-may-2022,0.47368421052631576,0.3623597974754756,-0.11702097504062038,0.5555555555555556,1.1170209750406204
dev,merged,text-normalization-challenge-english-language,0.3333333333333333,0.5941821504721292,0.1883643009442581,0.3333333333333333,0.811635699055742
dev,merged,text-normalization-challenge-russian-language,0.5,0.46658826784726065,-0.5198935134953717,0.25,1.5198935134953717
dev,merged,tweet-sentiment-extraction,0.75,0.5759521664345975,-0.22860787280116265,0.5,1.2286078728011627
dev,merged,us-patent-phrase-to-phrase-matching,0.7619047619047619,0.7154877243109283,0.2808776084496733,0.6666666666666666,0.7191223915503268
dev,merged,ventilator-pressure-prediction,0.6419753086419753,0.7186768507482055,-0.056691502147224314,0.4166666666666667,1.0566915021472243
dev,merged,whale-categorization-playground,0.6666666666666666,0.714342515280128,0.22288055817044145,0.55,0.7771194418295588
dev,Draft,aptos2019-blindness-detection,0.0,0.0,-1.0,0.0,2.0
dev,Draft,chaii-hindi-and-tamil-question-answering,1.0,1.0,1.0,1.0,0.0
dev,Draft,denoising-dirty-documents,0.42857142857142855,0.3806021748695707,0.8295131653722296,0.0,0.17048683462777037
dev,Draft,dog-breed-identification,0.48148148148148145,0.29251263561533,-0.2323583523028476,0.5,1.2323583523028476
dev,Draft,dogs-vs-cats-redux-kernels-edition,0.6666666666666666,0.7355086372360845,0.9553784860557765,0.0,0.04462151394422348
dev,Draft,google-quest-challenge,0.6666666666666666,0.6693600039414691,0.7817804846442922,0.0,0.21821951535570785
dev,Draft,histopathologic-cancer-detection,0.0,0.0,-0.9999999999999832,0.0,1.9999999999999833
dev,Draft,kuzushiji-recognition,0.3333333333333333,0.30060160879655706,-0.3987967824068858,0.0,1.3987967824068857
dev,Draft,leaf-classification,1.0,1.0,1.0,1.0,0.0
dev,Draft,learning-agency-lab-automated-essay-scoring-2,0.8333333333333334,0.936437101478343,0.3333333333333333,0.0,0.6666666666666666
dev,Draft,mlsp-2013-birds,0.5384615384615384,0.523840133988335,0.0029810067285573113,0.0,0.9970189932714427
dev,Draft,new-york-city-taxi-fare-prediction,1.0,1.0,1.0,1.0,0.0
dev,Draft,nomad2018-predict-transparent-conductors,0.5333333333333333,0.6612782441639519,0.9371490365197452,0.0,0.06285096348025483
dev,Draft,petfinder-pawpularity-score,0.7,0.749567612377026,-0.005639203989620028,0.0,1.00563920398962
dev,Draft,random-acts-of-pizza,0.5,0.5099827838733716,-0.11063085314397006,0.0,1.1106308531439701
dev,Draft,ranzcr-clip-catheter-line-classification,0.6875,0.802932081517082,0.9570699959322891,0.0,0.042930004067710886
dev,Draft,spooky-author-identification,0.782608695652174,0.94228954556742,0.8937454997521647,0.6666666666666666,0.10625450024783537
dev,Draft,tabular-playground-series-dec-2021,0.7142857142857143,0.7622089970243315,1.0,1.0,0.0
dev,Draft,tabular-playground-series-may-2022,0.4166666666666667,0.40188657023244856,0.32993828656189356,0.5,0.6700617134381064
dev,Draft,text-normalization-challenge-english-language,0.0,0.0,-1.0000000000000413,0.0,2.0000000000000413
dev,Draft,text-normalization-challenge-russian-language,0.7142857142857143,0.7142340550558244,0.6851391087989183,0.0,0.31486089120108174
dev,Draft,tweet-sentiment-extraction,0.8333333333333334,0.7555548251380488,0.16531205866122953,0.5,0.8346879413387704
dev,Draft,us-patent-phrase-to-phrase-matching,1.0,1.0,0.929092113982769,0.5,0.07090788601723101
dev,Draft,ventilator-pressure-prediction,0.7241379310344828,0.779784051255064,0.937831264521791,0.0,0.06216873547820892
dev,Draft,whale-categorization-playground,0.7857142857142857,0.8961643603979371,0.7750747756729814,0.0,0.22492522432701853
dev,Improve,aptos2019-blindness-detection,0.0,0.0,-0.999999999999993,0.0,1.9999999999999931
dev,Improve,denoising-dirty-documents,0.5,0.6894116548810939,0.37882330976218803,0.5,0.6211766902378119
dev,Improve,dog-breed-identification,0.6842105263157895,0.8850946465459496,0.7701892930918995,0.6842105263157895,0.22981070690810035
