protocol,git_commit,fold,arm,model_seed,edge_seed,fit_pairs,valid_pairs,training_edges,training_rows_symmetric,iterations,coefficient_norm,elapsed_s,accepted
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,0,sibling_only,887,20260814,3410,853,3410,6820,5,17.770524638834992,8.983284542802721,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,0,sibling_reweight_control,887,20260814,3410,853,6796,13592,6,29.838400435228447,21.370084130670875,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,0,uniform_crossrun_control,887,20260814,3410,853,6796,13592,7,28.138571790952103,30.964641626924276,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,0,tgca,887,20260814,3410,853,6796,13592,7,25.89213299745686,32.48353144386783,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,1,sibling_only,887,20260814,3410,853,3410,6820,5,17.775672807407727,8.900438144803047,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,1,sibling_reweight_control,887,20260814,3410,853,6789,13578,6,29.6878221880491,20.118739068042487,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,1,uniform_crossrun_control,887,20260814,3410,853,6789,13578,7,27.971402826304047,30.678631230723113,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,1,tgca,887,20260814,3410,853,6789,13578,7,25.771514645293617,31.685219342820346,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,2,sibling_only,887,20260814,3410,853,3410,6820,6,17.985947152793177,8.971409317106009,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,2,sibling_reweight_control,887,20260814,3410,853,6787,13574,6,29.897216818162697,18.91099812882021,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,2,uniform_crossrun_control,887,20260814,3410,853,6787,13574,7,28.14632225697718,28.49475056119263,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,2,tgca,887,20260814,3410,853,6787,13574,7,26.26422937461645,30.280354258138686,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,3,sibling_only,887,20260814,3411,852,3411,6822,5,18.3533702628325,8.736933893989772,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,3,sibling_reweight_control,887,20260814,3411,852,6793,13586,6,30.335831484264837,20.068418198730797,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,3,uniform_crossrun_control,887,20260814,3411,852,6793,13586,7,28.265837212594416,30.17514045909047,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,3,tgca,887,20260814,3411,852,6793,13586,6,26.35587624954219,28.20796560915187,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,4,sibling_only,887,20260814,3411,852,3411,6822,5,18.02416669176195,8.650202868040651,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,4,sibling_reweight_control,887,20260814,3411,852,6797,13594,6,29.88605321580773,19.21814587013796,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,4,uniform_crossrun_control,887,20260814,3411,852,6797,13594,8,27.699160783334662,30.11678415676579,True
tgca_v11_train_oof_discovery_v1,2de878d60175f72ea41c31966206ab73245561f7,4,tgca,887,20260814,3411,852,6797,13594,6,25.85844802955284,28.398303958121687,True
