task,validation_pairs,sibling_only_pair,sibling_only_top1,sibling_only_utility,sibling_reweight_control_pair,sibling_reweight_control_top1,sibling_reweight_control_utility,uniform_crossrun_control_pair,uniform_crossrun_control_top1,uniform_crossrun_control_utility,tgca_pair,tgca_top1,tgca_utility,tgca_minus_sibling_utility
aptos2019-blindness-detection,34,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.5,0.5,0.5,0.4411764705882353,0.4411764705882353,0.4411764705882353,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.0
chaii-hindi-and-tamil-question-answering,372,0.4731182795698925,0.3277310924369748,0.47331862413529974,0.46236559139784944,0.31932773109243695,0.4725227627970979,0.5080645161290323,0.31092436974789917,0.5194707537370161,0.4838709677419355,0.3277310924369748,0.4823339103855337,0.009015286250233956
denoising-dirty-documents,194,0.5360824742268041,0.5465116279069767,0.6007587006458375,0.5051546391752577,0.5232558139534884,0.573682637249975,0.5463917525773195,0.5697674418604651,0.6058802612553286,0.5154639175257731,0.46511627906976744,0.53363299723477,-0.0671257034110675
dog-breed-identification,83,0.4819277108433735,0.48214285714285715,0.4889606870091527,0.4939759036144578,0.48214285714285715,0.5034753518193055,0.5301204819277109,0.48214285714285715,0.5157033430338525,0.4578313253012048,0.39285714285714285,0.401053738033534,-0.08790694897561868
dogs-vs-cats-redux-kernels-edition,11,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,-0.18181818181818177
google-quest-challenge,45,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.35555555555555557,0.35555555555555557,0.35555555555555557,0.4888888888888889,0.4888888888888889,0.4888888888888889,-0.0222222222222222
histopathologic-cancer-detection,46,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6739130434782609,0.6739130434782609,0.6739130434782609,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6304347826086957,0.6304347826086957,0.6304347826086957,-0.021739130434782594
kuzushiji-recognition,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0
leaf-classification,353,0.5155807365439093,0.410958904109589,0.5044392040320407,0.5354107648725213,0.4178082191780822,0.5156702816893197,0.5127478753541076,0.3835616438356164,0.5271921229779815,0.5184135977337111,0.4041095890410959,0.5128158836805001,0.00837667964845945
learning-agency-lab-automated-essay-scoring-2,50,0.6,0.5714285714285714,0.6327758745335849,0.58,0.5357142857142857,0.5970615888192992,0.6,0.5357142857142857,0.6452008502815744,0.62,0.5714285714285714,0.6649064926073469,0.03213061807376205
mlsp-2013-birds,257,0.4474708171206226,0.3488372093023256,0.44820670060231954,0.44357976653696496,0.3488372093023256,0.4473218301991381,0.45525291828793774,0.4069767441860465,0.5069817141296493,0.5019455252918288,0.4418604651162791,0.5544948035274222,0.10628810292510266
nomad2018-predict-transparent-conductors,195,0.49743589743589745,0.36363636363636365,0.4974796567280738,0.517948717948718,0.41818181818181815,0.5339400082353887,0.5333333333333333,0.32727272727272727,0.5246730369282914,0.5076923076923077,0.38181818181818183,0.5215960668692242,0.0241164101411504
petfinder-pawpularity-score,449,0.5367483296213809,0.4786729857819905,0.5722623865547499,0.532293986636971,0.4881516587677725,0.563595846232841,0.512249443207127,0.44549763033175355,0.5297125576253143,0.5300668151447662,0.44549763033175355,0.544813792946359,-0.027448593608390914
random-acts-of-pizza,461,0.49023861171366595,0.421455938697318,0.4970529893180913,0.5032537960954447,0.42528735632183906,0.503876530677561,0.5574837310195228,0.5134099616858238,0.5738531659164202,0.5553145336225597,0.5095785440613027,0.5788094815431019,0.08175649222501058
spaceship-titanic,86,0.6976744186046512,0.6956521739130435,0.7575972168721588,0.6627906976744186,0.6086956521739131,0.7109129365455809,0.6046511627906976,0.4782608695652174,0.6356831905620823,0.6976744186046512,0.6086956521739131,0.6721412156251625,-0.08545600124699626
spooky-author-identification,900,0.56,0.4629156010230179,0.5704265489349415,0.5544444444444444,0.45524296675191817,0.5644865992859571,0.59,0.5140664961636828,0.6077448116130704,0.5822222222222222,0.4731457800511509,0.5948234168812296,0.024396867946288148
tabular-playground-series-dec-2021,29,0.7586206896551724,0.76,0.7800508723559083,0.7241379310344828,0.76,0.7600508723559084,0.7931034482758621,0.8,0.7800557956348121,0.9310344827586207,0.92,0.9599442043651879,0.1798933320092796
tabular-playground-series-may-2022,124,0.5967741935483871,0.59375,0.6604476428059072,0.6048387096774194,0.59375,0.6657228462417119,0.6048387096774194,0.578125,0.6677658504484371,0.532258064516129,0.484375,0.5591378106831697,-0.10130983212273748
text-normalization-challenge-english-language,17,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.5294117647058824,0.5294117647058824,0.5294117647058824,-0.05882352941176472
text-normalization-challenge-russian-language,96,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.53125,0.53125,0.53125,0.3854166666666667,0.3854166666666667,0.3854166666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,-0.10416666666666669
tweet-sentiment-extraction,40,0.45,0.45,0.45,0.425,0.425,0.425,0.475,0.475,0.475,0.475,0.475,0.475,0.024999999999999967
us-patent-phrase-to-phrase-matching,336,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.45535714285714285,0.45535714285714285,0.45535714285714285,0.49404761904761907,0.49404761904761907,0.49404761904761907,0.5119047619047619,0.5119047619047619,0.5119047619047619,0.04761904761904756
whale-categorization-playground,76,0.4868421052631579,0.47297297297297297,0.4834733787816132,0.5131578947368421,0.5135135135135135,0.5097698644616301,0.5394736842105263,0.5405405405405406,0.544284189592424,0.4473684210526316,0.43243243243243246,0.4429328382410726,-0.04054054054054057
