predictor,acc,ci_lo,ci_hi,n_pairs,n_runs,coverage,init_s,query_ms,note
random,0.5016,0.489,0.517,5498,39,1.0,0.0,0.001,
code_len,0.5624,0.4848,0.6111,5498,39,1.0,0.0,0.01,
runtime,0.5271,0.4712,0.5957,5498,39,1.0,0.0,0.01,
n_lines,0.5782,0.4971,0.647,5476,39,0.996,0.0,0.01,
step,0.4651,0.3543,0.5363,5455,39,0.992,0.0,0.01,
n_cv,0.6631,0.4591,0.8405,1867,31,0.34,0.0,0.01,
n_ensemble,0.6079,0.4773,0.6787,5159,38,0.938,0.0,0.01,
static_lr,0.6099,0.5066,0.7591,5498,39,1.0,2.3,0.311,36 feats
static_gbm,0.6506,0.5555,0.7699,5498,39,1.0,2.5,7.885,36 feats
tfidf_lr,0.6657,0.5558,0.782,5498,39,1.0,102.8,4.825,char 3-5 grams
self_report,0.778,0.6819,0.8733,3698,35,0.673,0.0,561076.844,query cost = one execution (median 561s)
rm_1.5b_2048_sib,0.6926,0.4978,0.8941,2027,17,0.369,0.0,50.0,eval-only
