predictor,acc,ci_lo,ci_hi,n_pairs,n_runs,coverage,init_s,query_ms,note
random,0.505,0.4834,0.5362,2000,34,1.0,0.0,0.001,
code_len,0.5665,0.4867,0.6232,2000,34,1.0,0.0,0.01,
runtime,0.5345,0.4767,0.6051,2000,34,1.0,0.0,0.01,
n_lines,0.5821,0.4953,0.6573,1991,34,0.996,0.0,0.01,
step,0.4693,0.3612,0.5371,1984,34,0.992,0.0,0.01,
n_cv,0.6607,0.4559,0.8465,666,28,0.333,0.0,0.01,
n_ensemble,0.6033,0.4593,0.6805,1888,34,0.944,0.0,0.01,
static_lr,0.6045,0.5044,0.7435,2000,34,1.0,4.5,0.151,36 feats
static_gbm,0.6255,0.5314,0.751,2000,34,1.0,2.5,6.365,36 feats
tfidf_lr,0.6485,0.5299,0.7828,2000,34,1.0,49.9,4.452,char 3-5 grams
self_report,0.7837,0.6743,0.8886,1336,29,0.668,0.0,561076.844,query cost = one execution (median 561s)
rm_1.5b_2048,0.7082,0.4951,0.9113,747,15,0.373,0.0,50.0,eval-only
