predictor,acc,ci_lo,ci_hi,ci_lo_run,ci_hi_run,n_tasks,n_pairs,n_runs,coverage,init_s,query_ms,note
random,0.5067,0.4965,0.5267,0.4966,0.5174,11,5498,39,1.0,0.0,0.001,
code_len,0.5624,0.4539,0.6067,0.4848,0.6111,11,5498,39,1.0,0.0,0.01,
n_lines,0.5782,0.4668,0.6208,0.4971,0.647,11,5476,39,0.996,0.0,0.01,
step,0.4651,0.3889,0.4926,0.3543,0.5363,11,5455,39,0.992,0.0,0.01,
n_cv,0.6631,0.4393,0.8353,0.4591,0.8405,8,1867,31,0.34,0.0,0.01,
n_ensemble,0.6079,0.4517,0.6694,0.4773,0.6787,11,5159,38,0.938,0.0,0.01,
static_lr,0.6019,0.5807,0.6373,0.4944,0.7596,11,5498,39,1.0,2.2,0.31,34 feats
static_gbm,0.6537,0.5363,0.6918,0.5391,0.7667,11,5498,39,1.0,2.2,8.069,34 feats
tfidf_lr,0.6795,0.5742,0.7313,0.5623,0.7912,11,5498,39,1.0,117.1,4.245,char 3-5 grams
self_report,0.778,0.699,0.7892,0.6819,0.8733,9,3698,35,0.673,0.0,437888.154,query cost = one execution (median 438s)
judge_qwen_max,0.555,0.5,0.5947,0.448,0.6635,9,400,35,0.073,0.0,30000.0,order-averaged pairwise
judge_deepseek,0.5075,0.3921,0.5706,0.4026,0.6025,9,400,35,0.073,0.0,30000.0,order-averaged pairwise
rm_1.5b_2048_SIBSUBSET,0.6926,0.5897,0.7804,0.4978,0.8941,6,2027,17,0.369,0.0,50.0,"PARTIAL COVERAGE, not comparable"
embed_frozen_0.5b,0.6157,0.5045,0.6686,0.5083,0.7091,11,5498,39,1.0,0.0,50.0,eval-only
