predictor,task,N,resample,metric,value
value,spaceship-titanic,100,0,spearman,0.3299105957333805
value,spaceship-titanic,100,1,spearman,0.3542406960128479
value,spaceship-titanic,100,2,spearman,0.20800718269072696
value,spaceship-titanic,100,3,spearman,0.33206034471857254
value,spaceship-titanic,100,4,spearman,0.46544594645860465
value,spaceship-titanic,100,5,spearman,0.21630268465711502
value,spaceship-titanic,100,6,spearman,0.32191858774137255
value,spaceship-titanic,100,7,spearman,0.10651373942513181
value,spaceship-titanic,100,8,spearman,0.2646593912416697
value,spaceship-titanic,100,9,spearman,0.026492494846925223
value,spaceship-titanic,100,10,spearman,0.1272777855056336
value,spaceship-titanic,100,11,spearman,0.16478458250610148
value,spaceship-titanic,100,12,spearman,0.3523691498375042
value,spaceship-titanic,100,13,spearman,0.1425789400472945
value,spaceship-titanic,100,14,spearman,0.3171638488094184
value,spaceship-titanic,100,15,spearman,0.3052264191504697
value,spaceship-titanic,100,16,spearman,0.31319313597794607
value,spaceship-titanic,100,17,spearman,0.29220146941665925
value,spaceship-titanic,100,18,spearman,0.18951934141807558
value,spaceship-titanic,100,19,spearman,0.21749136939010352
value,spaceship-titanic,100,20,spearman,0.4241960571074495
value,spaceship-titanic,100,21,spearman,0.17401585756016133
value,spaceship-titanic,100,22,spearman,0.042476510830941214
value,spaceship-titanic,100,23,spearman,0.005981360411740157
value,spaceship-titanic,100,24,spearman,0.27662211206515
value,spaceship-titanic,100,25,spearman,0.36582404936835317
value,spaceship-titanic,100,26,spearman,0.2368391102568318
value,spaceship-titanic,100,27,spearman,0.23944410020359386
value,spaceship-titanic,100,28,spearman,0.2179719015162053
value,spaceship-titanic,100,29,spearman,0.06220361916564448
value,spaceship-titanic,146,0,spearman,0.2892929854955172
value,spaceship-titanic,146,1,spearman,0.3755864388775781
value,spaceship-titanic,146,2,spearman,0.37298144893081603
value,spaceship-titanic,146,3,spearman,0.25406239330289965
value,spaceship-titanic,146,4,spearman,0.46592647858470637
value,spaceship-titanic,146,5,spearman,0.28049166023849564
value,spaceship-titanic,146,6,spearman,0.32970826641712714
value,spaceship-titanic,146,7,spearman,0.30343074646872115
value,spaceship-titanic,146,8,spearman,0.24607038531089162
