parent,run_id,task,stratum,policy,n_children,n_artifact,n_silent,accepted_early,n_escalated,endpoint_identity,deployed_available,deployed_utility,full_final_best_utility,deployed_delta_to_full_final,deployed_matches_or_beats_full,deployed_strictly_beats_full,deployed_strictly_loses_full,low_wall_s,all_full_runtime_s,restart_cost_s,continuation_cost_s
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,artifact_only,3,0,3,0,0,0.3333333333333333,0,nan,0.69479,nan,0.0,0.0,1.0,140.29999999999998,2803.019416332245,140.29999999999998,140.29999999999998
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,all_escalate,3,0,3,0,3,1.0,1,0.69479,0.69479,0.0,1.0,0.0,0.0,140.29999999999998,2803.019416332245,2943.319416332245,2583.319416332245
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,full_external,3,0,3,0,3,1.0,1,0.69479,0.69479,0.0,1.0,0.0,0.0,140.29999999999998,2803.019416332245,2803.019416332245,2803.019416332245
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,conformal_a05,3,0,3,0,3,1.0,1,0.69479,0.69479,0.0,1.0,0.0,0.0,140.29999999999998,2803.019416332245,2943.319416332245,2583.319416332245
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,conformal_a10,3,0,3,0,3,1.0,1,0.69479,0.69479,0.0,1.0,0.0,0.0,140.29999999999998,2803.019416332245,2943.319416332245,2583.319416332245
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,conformal_a20,3,0,3,0,3,1.0,1,0.69479,0.69479,0.0,1.0,0.0,0.0,140.29999999999998,2803.019416332245,2943.319416332245,2583.319416332245
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,artifact_only,2,0,2,0,0,0.5,0,nan,0.09459,nan,0.0,0.0,1.0,240.2,10884.15703701973,240.2,240.2
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,all_escalate,2,0,2,0,2,1.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,11124.35703701973,10884.35703701973
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,full_external,2,0,2,0,2,1.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,10884.15703701973,10884.15703701973
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,conformal_a05,2,0,2,0,2,1.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,11124.35703701973,10884.35703701973
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,conformal_a10,2,0,2,0,2,1.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,11124.35703701973,10884.35703701973
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,conformal_a20,2,0,2,0,2,1.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,11124.35703701973,10884.35703701973
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,artifact_only,3,0,3,0,0,0.3333333333333333,0,nan,0.68914,nan,0.0,0.0,1.0,360.4,1355.3276376724243,360.4,360.4
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,all_escalate,3,0,3,0,3,1.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1715.7276376724244,1355.7276376724244
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,full_external,3,0,3,0,3,1.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1355.3276376724243,1355.3276376724243
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,conformal_a05,3,0,3,0,3,1.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1715.7276376724244,1355.7276376724244
