run_id,task,cards,graded_cards,legal_parent_child_edges,observed_components,closed_nodes,branch_points,closed_branch_points,deep_closed_branch_points,max_closed_depth_to_leaf
cards_deepA.jsonl:0,nomad2018-predict-transparent-conductors,68,68,47,21,59,11,3,1,6
cards_deepA.jsonl:1,petfinder-pawpularity-score,15,15,5,10,13,2,0,0,0
cards_deepA.jsonl:2,petfinder-pawpularity-score,15,15,9,6,14,2,1,0,1
cards_deepA.jsonl:3,nomad2018-predict-transparent-conductors,48,48,28,20,38,7,0,0,1
cards_deepB2.jsonl:0,chaii-hindi-and-tamil-question-answering,71,71,53,18,61,13,3,0,1
cards_deepB2.jsonl:1,denoising-dirty-documents,49,49,31,18,42,7,1,0,3
cards_deepB2.jsonl:2,chaii-hindi-and-tamil-question-answering,92,92,63,29,78,15,3,0,1
cards_deepB2.jsonl:3,denoising-dirty-documents,68,68,51,17,59,11,3,0,1
cards_gen2A.jsonl:0,random-acts-of-pizza,12,12,4,8,11,2,1,0,1
cards_gen2A.jsonl:1,leaf-classification,12,12,6,6,11,1,1,0,1
cards_gen2A.jsonl:2,leaf-classification,9,9,3,6,8,1,0,0,0
cards_gen2A.jsonl:3,random-acts-of-pizza,8,8,1,7,7,0,0,0,0
cards_gen2B.jsonl:0,spooky-author-identification,11,11,4,7,9,1,0,0,0
cards_gen2B.jsonl:1,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_gen2B.jsonl:2,tabular-playground-series-dec-2021,5,5,0,5,5,0,0,0,0
cards_gen2B.jsonl:3,spooky-author-identification,8,8,2,6,7,1,0,0,0
cards_gen2C.jsonl:0,random-acts-of-pizza,10,10,1,9,9,0,0,0,0
cards_gen2C.jsonl:1,leaf-classification,12,12,5,7,10,2,0,0,0
cards_gen2C.jsonl:2,random-acts-of-pizza,13,13,4,9,11,1,0,0,0
cards_gen2D.jsonl:0,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_gen2D.jsonl:1,spooky-author-identification,5,5,0,5,5,0,0,0,0
cards_gen2D.jsonl:2,tabular-playground-series-dec-2021,5,5,0,5,5,0,0,0,0
cards_gen2D.jsonl:3,spooky-author-identification,7,7,1,6,6,0,0,0,0
cards_gen2VAL.jsonl:0,random-acts-of-pizza,11,11,5,6,5,0,0,0,1
cards_gen2VALb.jsonl:0,leaf-classification,11,11,3,8,10,1,0,0,1
cards_gen2VALb.jsonl:1,random-acts-of-pizza,12,12,9,3,8,0,0,0,6
cards_gen2VALb.jsonl:2,leaf-classification,10,10,2,8,9,1,0,0,0
cards_gen3A.jsonl:0,leaf-classification,9,9,1,8,8,0,0,0,0
cards_gen3A.jsonl:1,random-acts-of-pizza,16,16,10,6,14,2,0,0,1
cards_gen3A.jsonl:2,leaf-classification,13,13,5,8,11,2,0,0,0
cards_gen3A.jsonl:3,random-acts-of-pizza,12,12,5,7,11,1,1,0,1
cards_ours_20260727.jsonl:0,spaceship-titanic,1,1,0,1,1,0,0,0,0
cards_ours_20260727.jsonl:1,spaceship-titanic,2,2,0,2,2,0,0,0,0
cards_ours_20260727.jsonl:10,spaceship-titanic,8,8,3,5,8,1,1,0,1
cards_ours_20260727.jsonl:100,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:101,tabular-playground-series-dec-2021,7,7,1,6,6,0,0,0,0
cards_ours_20260727.jsonl:102,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:103,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:104,tabular-playground-series-dec-2021,1,1,0,1,1,0,0,0,0
cards_ours_20260727.jsonl:105,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:106,tabular-playground-series-dec-2021,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:107,tabular-playground-series-dec-2021,3,3,0,3,3,0,0,0,0
cards_ours_20260727.jsonl:108,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:109,tabular-playground-series-may-2022,10,10,4,6,9,1,0,0,0
cards_ours_20260727.jsonl:11,spaceship-titanic,7,7,1,6,6,0,0,0,0
cards_ours_20260727.jsonl:110,tabular-playground-series-may-2022,7,7,0,7,6,0,0,0,0
cards_ours_20260727.jsonl:111,tabular-playground-series-may-2022,6,6,0,6,5,0,0,0,0
cards_ours_20260727.jsonl:112,tabular-playground-series-may-2022,7,7,1,6,6,0,0,0,0
cards_ours_20260727.jsonl:113,tabular-playground-series-may-2022,8,8,3,5,7,1,0,0,0
cards_ours_20260727.jsonl:114,tabular-playground-series-may-2022,5,5,0,5,4,0,0,0,0
cards_ours_20260727.jsonl:115,tabular-playground-series-may-2022,9,9,1,8,8,0,0,0,0
cards_ours_20260727.jsonl:116,tabular-playground-series-may-2022,10,10,3,7,9,1,0,0,0
cards_ours_20260727.jsonl:117,tabular-playground-series-may-2022,9,9,3,6,8,1,0,0,0
cards_ours_20260727.jsonl:118,tabular-playground-series-may-2022,9,9,1,8,8,0,0,0,0
cards_ours_20260727.jsonl:119,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:12,nomad2018-predict-transparent-conductors,2,2,0,2,2,0,0,0,0
cards_ours_20260727.jsonl:120,tabular-playground-series-may-2022,7,7,0,7,6,0,0,0,0
cards_ours_20260727.jsonl:121,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:122,tabular-playground-series-may-2022,9,9,3,6,8,1,0,0,0
cards_ours_20260727.jsonl:123,tabular-playground-series-may-2022,10,10,2,8,9,1,0,0,0
cards_ours_20260727.jsonl:124,tabular-playground-series-may-2022,7,7,0,7,6,0,0,0,0
cards_ours_20260727.jsonl:125,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:126,tabular-playground-series-may-2022,6,6,1,5,5,0,0,0,0
cards_ours_20260727.jsonl:127,tabular-playground-series-may-2022,9,9,1,8,8,0,0,0,0
