parent,run_id,task,policy,n_children,n_artifact,n_silent,top1_expected,raw_regret,escalated_expected,low_wall_s,all_full_runtime_s,restart_cost_s,continuation_cost_s
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,random_expected,3,0,3,0.3333333333333333,0.06279666666666668,1.0,140.29999999999998,2803.019416332245,1074.6398054440815,954.6398054440815
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,stdout_tfidf,3,0,3,0.0,0.18393000000000004,1.0,140.29999999999998,2803.019416332245,709.3280430316925,589.3280430316925
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_scalar_run_oof,3,0,3,1.0,0.0,1.0,140.29999999999998,2803.019416332245,1239.1692240715026,1119.1692240715026
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_text_run_oof,3,0,3,1.0,0.0,1.0,140.29999999999998,2803.019416332245,1239.1692240715026,1119.1692240715026
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_combined_run_oof,3,0,3,0.0,0.18393000000000004,1.0,140.29999999999998,2803.019416332245,709.3280430316925,589.3280430316925
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_scalar_loto,3,0,3,0.0,0.18393000000000004,1.0,140.29999999999998,2803.019416332245,709.3280430316925,589.3280430316925
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_text_loto,3,0,3,1.0,0.0,1.0,140.29999999999998,2803.019416332245,1239.1692240715026,1119.1692240715026
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_combined_loto,3,0,3,0.0,0.18393000000000004,1.0,140.29999999999998,2803.019416332245,709.3280430316925,589.3280430316925
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,oracle_top1,3,0,3,1.0,0.0,1.0,140.29999999999998,2803.019416332245,1239.1692240715026,1119.1692240715026
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,all_escalate,3,0,3,1.0,0.0,3.0,140.29999999999998,2803.019416332245,2943.319416332245,2583.319416332245
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,full_external,3,0,3,1.0,0.0,3.0,140.29999999999998,2803.019416332245,2803.019416332245,2803.019416332245
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,random_expected,2,0,2,0.5,0.016944999999999998,1.0,240.2,10884.15703701973,5682.278518509865,5562.278518509865
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,stdout_tfidf,2,0,2,1.0,0.0,1.0,240.2,10884.15703701973,4277.270086956024,4157.270086956024
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_scalar_run_oof,2,0,2,1.0,0.0,1.0,240.2,10884.15703701973,4277.270086956024,4157.270086956024
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_text_run_oof,2,0,2,0.0,0.033889999999999997,1.0,240.2,10884.15703701973,7087.286950063705,6967.286950063705
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_combined_run_oof,2,0,2,1.0,0.0,1.0,240.2,10884.15703701973,4277.270086956024,4157.270086956024
